_d4287 		today is August sixteenth . 
_d4287 		what ,  , are you okay ? 
_d4287 		be a little careful there , boo .
_d4287 		yeah .
_d4287 		you need a little help there I think , be careful . 
_d4287 		miss athlete .
_d4287 		what was she eating , was she eating seeds too , or was she eating something else ?
_d4288 		what was genaba eating ? 
_d4288 		the stamp ?
_d4288 		is that was what genaba was eating ? 
_d4288 		xxx , who did we have visiting us ? 
_d4288 		with visitors , ye:s .
_d4288 		visit us . 
_d4288 		who did we have , who were the , who was visiting us ? 
_d4288 		two people .
_d4288 		badega was visiting us , who else was visiting us ?
_d4288 		animals , yeah .
_d4288 		what about the people , what were their names ? 
_d4288 		Alan was making a noise when they came to visit us .
_d4288 		Alan was using the mowing machine outside (.) when (.) Cecilia and Michelle came to visit us . 
_d4288 		that's right . 
_d4288 		Cecilia and Michelle were their names . 
_d4288 		thank you .
_d4288 		the animals visited us too , that's right .
_d4288 		you are really (.) something .
_d4289 		you are somethin [: something] . 
_d4289 		you are somethin [: something] , you know who's gonna come home now to see you ?
_d4289 		yeah .
_d4289 		Daddy's gonna come home .
_d4289 		and he's gonna drive his car into the driveway . 
_d4289 		and he's gonna shut the door of his car , clunk . 
_d4289 		and he's gonna come into the house and say , what does he say when he comes home ?
_d4289 		is that what he says , he says toes ?
_d4289 		what does Daddy say when he comes home ? 
_d4289 		what kind of thing does he +..?
_d4289 		ribbon on your feet ? 
_d4289 		does Daddy say hi Naima ? 
_d4289 		does he say boo+boo ? 
_d4289 		sometimes he says boo+boo +... 
_d4289 		when Daddy comes home .
_d4289 		follow baby Alex Daddy ?
_d4289 		you're giving me the ribbon to wear ? 
_d4289 		where should I wear it ? 
_d4289 		should I wear it on my head ? 
_d4289 		Alan was making a big noise with the mowing machine . 
_d4289 		that was the mower , he was cutting the grass with the mower , remember ?
_d4289 		Alan was cutting the grass with the mower . 
_d4289 		the mower has little knives underneath it .
_d4289 		and the little knives cut the grass . 
_d4289 		Alan , Alan drives the mower like a motorcycle , and it's very loud !
_d4289 		wasn't it loud ? 
_d4289 		it was loud .
_d4289 		Alan rides the mower .
_d4289 		yup [: yes] , yup [: yes] , he cuts the grass .
_d4289 		mats ?
_d4290 		mints , mutts . 
_d4290 		what ?
_d4290 		what is +...
_d4290 		what are you saying ?
_d4290 		mutts , what's that ?
_d4290 		what are you saying ?
_d4290 		careful , boo . 
_d4290 		what's noisy ? 
_d4290 		the fan is noisy right now . 
_d4290 		Alan was noisy , yes , he was .
_d4290 		make noise , yeah .
_d4290 		yeah , the parrot puppet is under that bucket .
_d4291 		is that parrot hiding in that container ? 
_d4291 		ah , hi parrot . 
_d4291 		no , I heard that noise too , that noise was just the wind and the paper .
_d4291 		that noise was the wind and the paper . 
_d4291 		hello parrot .
_d4291 		we're kissing the parrot . 
_d4291 		ding dong bell ?
_d4291 		yeah , the bell went ding dong , it was  .
_d4291 		she rang the bell and it went di:ng do:ng .
_d4291 		ding dong went the bell .
_d4291 		xxx rang the bell , she doesn't usually ring the bell , does she ?
_d4292 		we don't hear the bell very much , most people don't ring the bell . 
_d4292 		shall I put the ribbon in the bucket ? 
_d4292 		I'm going to hide something under that container . 
_d4292 		ah .
_d4292 		ribbon .
_d4292 		yeah , the ribbon was under , let's hide it again .
_d4292 		where's the ribbon ? 
_d4292 		you wanna hide the koala ?
_d4292 		okay , koala .
_d4293 		oh , he's too big , he's just hiding his head ! 
_d4293 		oh , are you gonna kiss him now ? 
_d4293 		why are you calling the carrot , the parrot a carrot ?
_d4293 		that's a parrot !
_d4293 		yes , you eat carrots , do you think the parrot eats carrots ? 
_d4293 		here , have some carrots , parrot . 
_d4293 		xxx ,  . 
_d4293 		carrot eat .
_d4293 		you wanna have this in your hand , the ribbon ?
_d4293 		what ? 
_d4293 		you wanna eat carrots ? 
_d4293 		you wanna ,  , you wanna feed the parrot , okay .
_d4293 		what do you need ?
_d4294 		tell me what you need . 
_d4294 		you want me to give you carrots so you can feed him ?
_d4294 		I'm not sure if we have any carrots . 
_d4294 		they're not in season . 
_d4294 		whoa .
_d4294 		whoa , the ribbon got tangled in your hair .
_d4294 		tangled .
