_d4491 		oh there's that siren noise . 
_d4491 		I'm coming over here . 
_d4491 		oh dear . 
_d4491 		let's get motorcycle chicken .
_d4491 		what happened to motorcycle chicken ,  here he is . 
_d4491 		oh dear .
_d4491 		oh dear said Mommy . 
_d4491 		can you come back here please ? 
_d4491 		I brought the pteradon over here . 
_d4491 		the pteradon is right here . 
_d4491 		well I brought the pteradon back so we can put it in the puzzle where it belongs . 
_d4491 		yes that's exactly where it belongs you know the answer . 
_d4491 		can you put it back in there ? 
_d4491 		do you want some help ?
_d4491 		want me to help you ? 
_d4491 		okay let's do it together .
_d4491 		can you hold it too . 
_d4491 		let's both hold it .
_d4491 		there we both did it .
_d4491 		xxx .
_d4491 		wanna hold it together ? 
_d4491 		okay you hold it too . 
_d4491 		okay .
_d4491 		hey I'm not doing it right . 
_d4491 		here okay you hold it too . 
_d4491 		there . 
_d4491 		I think that is 
_d4491 		should we put it back together ? 
_d4491 		can you hold it too ?
_d4491 		yep [: yes] .
_d4491 		can you hold it too ? 
_d4491 		okay .
_d4491 		push over here . 
_d4491 		let('s) see well it's too small for that spot .
_d4491 		xxx tr(y) tr(y) try another one . 
_d4491 		see if goes somewhere else . 
_d4491 		it doesn't really look +... 
_d4491 		yeah .
_d4491 		let's do it hold it together . 
_d4491 		Mommy and Naima can put it back together . 
_d4491 		there . 
_d4491 		that's the spinosaurus . 
_d4491 		what's that ? 
_d4491 		that's the right yes you did it all by yourself . 
_d4491 		you didn't need me to help you with that . 
_d4491 		that was the styracosaurus . 
_d4491 		that's the styracosaurus .
_d4491 		this one is tyrannosaurus rex . 
_d4491 		and he goes there . 
_d4491 		you wanna put him in ? 
_d4491 		there you did it . 
_d4491 		now all the dinosaurs are back where they belong . 
_d4491 		now we'll take off the sticker . 
_d4491 		yeah here's a white price sticker on this .
_d4491 		I'm taking it off with my fingernail .
_d4492 		mmmm  . 
_d4492 		with my finger nails right .
_d4492 		letters , yeah there are letters . 
_d4492 		well there are numbers actually on this sticker . 
_d4492 		okay . 
_d4492 		all done . 
_d4492 		um today is eleven , twelve , thirteen , fourteen it's Columbus Day .
_d4492 		October fourteenth two thousand and two .
_d4492 		and that means Naima is exactly nineteen months old happy birthday .
_d4493 		happy birthday miss baby girl . 
_d4493 		girl who's a girl . 
_d4493 		oh where does that go ?
_d4493 		that is triceratops I think . 
_d4493 		try that one . 
_d4493 		yeah . 
_d4493 		there you did it .
_d4493 		motorcycle chicken is gonna watch you do it . 
_d4493 		put them back in . 
_d4493 		it is i(t')s a stegosaurus . 
_d4493 		wanna do it together ? 
_d4493 		you hold it too Naima . 
_d4493 		hey let's put you put it in if you put it in kinda [: kind of] gently it's easier . 
_d4493 		so you can kinda wiggle it around . 
_d4493 		okay do it around I said wiggle around  .
_d4494 		forget  don't forget the spinosaurus . 
_d4494 		that's the tyrannosaurus rex . 
_d4494 		that's a big mouthful .
_d4494 		don't forget the tyrannosaurus rex .
_d4494 		tyrannosaurus +...
_d4494 		right . 
_d4494 		there you did it you put him back where he belongs . 
_d4494 		don't forget the pteradon the pteradon is a bird dinosaur . 
_d4494 		don't forget the pteradon .
_d4494 		hmmm . 
_d4494 		pteradon is there . 
_d4494 		you have the spinosaurus in your hand . 
_d4494 		well there's only one place left for it to go right ? 
_d4494 		you're giving it to me we can do it together .
_d4494 		tyrannosaurus rex decided to come out to play . 
_d4494 		don't forget it . 
_d4494 		don't forget it . 
_d4494 		don't forget it .
_d4494 		don't forget it . 
_d4494 		xxx don't forget tyrannosaurus rex . 
_d4494 		oh I wanna go back  where I belong right here . 
_d4494 		he belongs where . 
_d4494 		where you about to say he belongs . 
_d4494 		how do you know is not a she , it might be a she . 
_d4494 		she belongs there . 
_d4494 		there . 
_d4494 		xxx . 
_d4494 		you forgot it . 
_d4494 		you left her out . 
_d4494 		that's c(alled) +//.
_d4494 		forget it .
_d4494 		well when you take one out that's not really forgetting it that is leaving it out . 
_d4494 		we don't wanna leave it out . 
_d4494 		you want to leave him out . 
_d4494 		that is leaving him out . 
_d4494 		or her . 
_d4494 		leaving her out or leaving him out . 
_d4494 		maybe ?
_d4494 		maybe her . 
_d4494 		we don't know if it's a woman tyrannosaurus rex or a man tyrannosaurus rex . 
_d4494 		yeah you got it . 
_d4494 		you almost got it . 
_d4494 		what else is in that bag you know there's toys in that bag we haven't seen for a long time . 
_d4494 		you hear the wind on the trees I hear that too . 
_d4494 		well it is sorta [: sort of] wet out today ,  here's the pink shaky egg I wondered where that was . 
_d4494 		I wondered where that was . 
_d4494 		we have a blue one and a pink one . 
_d4494 		the blue one is I think in your room somewhere . 
_d4494 		who's hiding in the lion . 
_d4494 		someone's dressed up like a lion . 
_d4494 		who's dressed up like a lion . 
_d4494 		for Halloween . 
_d4494 		someone is in it . 
_d4494 		someone's in the lion sock . 
_d4494 		it is the guy . 
_d4494 		the guy is in there he was dressed up like a lion for Halloween . 
_d4494 		are you gonna dress up for Halloween ? 
_d4494 		what's Naima let's get off this (be)cause it'll hurt your feet . 
_d4494 		what what are you gonna are you gonna dress up for Halloween Naima ? 
_d4494 		tyrannosaurus rex yeah . 
_d4494 		forget him leave him out ? 
_d4494 		you want to leave him out ? 
_d4494 		are there kitty+cats in that book ? 
_d4494 		is there is there a rex in that ? 
_d4494 		in the word book I don't think so . 
_d4494 		Daddy reads that to you and you talk a lot about the words in here huh ? 
_d4494 		oh yeah there are lots_of words in +... 
_d4494 		hey all about me . 
_d4494 		these are all the words that describe the parts of the body . 
_d4494 		the elbow is a part of his body and your body too . 
_d4494 		elbow . 
_d4494 		my clothes . 
_d4494 		there's lots_of clothes in there . 
_d4494 		that's coat or a jacket . 
_d4494 		that's an undershirt . 
_d4494 		that's a kind of underwear . 
_d4494 		what is that you know what that is ? 
_d4494 		what  what's that ? 
_d4494 		what is that ? 
_d4494 		yeah pants . 
_d4494 		shaky shaky you were sitting on the shaky egg . 
_d4494 		the guy is gonna jump on the top of the letters . 
_d4494 		and the motorcycle chicken is jumping on top of the letters . 
_d4494 		ooh . 
_d4494 		sitting high up in the sky . 
_d4494 		what are you sitting now the lion . 
_d4494 		and the lion's [: lion is] jumping up everybody's up on top of the letters . 
_d4494 		the guy . 
_d4494 		everybody's [: everybody is] up there now . 
_d4494 		are you driving with fire engine ?
_d4494 		all about me . 
_d4494 		that is that's glass looks like a glass of milk of cow's milk doesn't it ? 
_d4494 		I think that's a glass of cow's milk . 
_d4494 		oh on the glass . 
_d4494 		let me see . 
_d4494 		there's a clown on the glass that's right .
_d4494 		shimmy shimmy shimmy . 
_d4494 		yeah what color is the car ? 
_d4494 		yeah that's right . 
_d4494 		oh I think we need to  we need to go start the laundry machine up again so that the diapers will get more dry  wanna help me . 
_d4494 		well you can walk over to the +//.
_d4494 		no let's walk you can walk . 
_d4494 		we'll both walk together .
_d4494 		I lift you up if you wanna see what is in there in a minute . 
_d4494 		let's go . 
_d4494 		can I hold your hand please ? 
_d4494 		let's see see there's nothing in the washing machine but the diapers need to go around again because they're not really dry yet . 
_d4494 		although the covers are dry . 
_d4494 		those are dry . 
_d4494 		shimmy shimmy . 
_d4494 		what is these all the shimmy shimmy about .
_d4494 		wiggle wiggle wiggle . 
_d4494 		what's making this +..?
_d4494 		wiggle wiggle wiggle . 
_d4494 		alright now put that on . 
_d4494 		wiggle wiggle wiggle okay .
_d4494 		doggy woggy is stuck here . 
_d4494 		here maybe he'd like to go on top of the letters container too . 
_d4494 		I'll be right there . 
_d4494 		Mommy is right here . 
_d4494 		let's close this .
_d4494 		everybody's [: everybody is] on top of the letters now .
_d4494 		oh sweetie . 
_d4494 		is that the airplane ? 
