_d4726 		what would you like ? 
_d4726 		what colors of markers ? 
_d4726 		okay . 
_d4726 		take the horse colors away okay . 
_d4726 		ahh today is January nineteenth . 
_d4726 		and we're going to get the receiver and the mikes ooh more for me . 
_d4726 		Naima was painting today this morning already .
_d4726 		I'll get you some other colors and markers . 
_d4726 		o:h here's a nice blue one and a nice yellow one .
_d4726 		there . 
_d4726 		oh different paper . 
_d4726 		okay . 
_d4726 		other paper . 
_d4726 		the yellow has orange in it . 
_d4726 		yeah it looks darker that color of yellow there's some pink paper . 
_d4726 		okay lets get our equipment . 
_d4726 		Daddy probably be out of the shower in a minute . 
_d4726 		mmmm .
_d4726 		little Betty Anne . 
_d4726 		what's that ? 
_d4726 		oh draw around trace around your hand . 
_d4726 		okay . 
_d4726 		okay okay  . 
_d4726 		what did you get ?
_d4726 		show me your hand yes this is Billy Barlow . 
_d4726 		put your hand out straight all your fingers need to go straight . 
_d4726 		yes it is . 
_d4726 		Billy Barlow .
_d4726 		okay I draw your yellow hand just a minute .
_d4726 		I'm putting on my microphone .
_d4727 		on Mommy yeah . 
_d4727 		xxx  excuse me that's yours . 
_d4727 		that is blue .
_d4727 		I'll get you dark green one like you want it . 
_d4727 		here's a light green one and a dark green one . 
_d4727 		it's still January nineteenth . 
_d4727 		Billy Barlow . 
_d4727 		oh that's a circle you are drawing wow . 
_d4727 		you put it on by yourself  . 
_d4727 		mmmm+hmmm . 
_d4727 		it's breakfast time soon for you . 
_d4727 		it's marker time . 
_d4727 		yeah it seems to be marker time and then it will be breakfast time . 
_d4727 		do you know how old you are Naima , how old are you ? 
_d4727 		how old are you ? 
_d4727 		you know what the answer is ? 
_d4727 		almost two .
_d4727 		you can say almost two . 
_d4727 		Naima is twenty+two months old right now . 
_d4727 		mmmm you have dark green .
_d4727 		I'm gonna write down on these paintings what you said they were . 
_d4727 		how's Mommy .
_d4727 		this is okay .
_d4727 		butterfly . 
_d4727 		I forgot I was going to say .
_d4727 		how's the baby .
_d4727 		oh   had a lobster on her shirt . 
_d4727 		look at the lobster that Naima painted Daddy . 
_d4727 		hey .
_d4727 		wow .
_d4727 		that part she said is a lobster .
_d4727 		oh who had a lobster . 
_d4727 		xxx and this is a W and a butterfly .
_d4727 		o:h very nice . 
_d4727 		yellow butterfly . 
_d4727 		and I think you said the butterfly has whiskers . 
_d4727 		didn't you ? 
_d4727 		xxx  .
_d4727 		oh .
_d4727 		who had the lobster on her shirt ? 
_d4727 		who ? 
_d4727 		xxx .
_d4727 		xxx .
_d4727 		xxx . 
_d4727 		xxx was playing . 
_d4727 		she was eating too . 
_d4727 		or overrun with paintings of  do you . 
_d4727 		okay .
_d4727 		I just put this down .
_d4727 		Daddy's going .
_d4727 		okay . 
_d4727 		alright oops .
