_d4880 		xxx has the (.) transmitter in it . 
_d4880 		it just has the transmitter in it . 
_d4880 		do you want me to put it on your back , and you can carry it around ?
_d4880 		it's the very special one . 
_d4880 		that  gave you . 
_d4880 		yeah !
_d4880 		you wanna put toys in the back+pack , okay . 
_d4880 		you know what , this backpack has a special (.) little pocket . 
_d4880 		wanna put the doll in there ? 
_d4880 		o:h , she can go for a ride ! 
_d4880 		on your back ! 
_d4880 		oh , okay . 
_d4880 		oh well . 
_d4880 		how about if I put another toy in to go for a ride ? 
_d4880 		you wanna carry it , okay . 
_d4880 		Mommy would like to put this on your back , okay ?
_d4880 		on your chest ,  , let's put it on your chest . 
_d4880 		look  , look in the mirror ! 
_d4880 		you're carrying that on your chest . 
_d4880 		wanna see in the mirror how that looks ? 
_d4880 		and here's the +//.
_d4880 		where's the doll , where's the doll ?
_d4880 		where's the doll , look , surprise ! 
_d4880 		you're carrying that doll like a baby in a baby bundler . 
_d4880 		look in the mirror , look in the mirror .
_d4880 		now  you're gonna carry it ?
_d4880 		okay don't (.) cry . 
_d4880 		you had a little doll in the back+pack pocket . 
_d4880 		okay +... 
_d4880 		there's the doll ! 
_d4880 		she's in your hand . 
_d4880 		what's she gonna do now ? 
_d4880 		is she gonna have a picnic with the other dolls ? 
_d4880 		oh good . 
_d4880 		what's she gonna eat at the picnic ? 
_d4880 		let's see +...
_d4880 		oh those little dolls don't really know how to sit properly . 
_d4880 		the big dolls know how to sit .
_d4880 		you want some help putting the dress on her ?
_d4880 		okay .
_d4880 		xxx . 
_d4880 		let's see here . 
_d4880 		want help  okay .
_d4880 		four , three , two , one .
_d4880 		today must be Saturday , March first .
_d4880 		(be)cause it is Saturday . 
_d4880 		you were sick the last few days . 
_d4880 		what happened when you were sick , do you remember ? 
_d4880 		you're better now , you're feeling better now , right ? 
_d4880 		yeah , you don't nursie as much when you're sick , right . 
_d4880 		oh , she's sitting with her +... 
_d4880 		where's the green doll ? 
_d4881 		she has decorations on her shirt ? 
_d4881 		oh , all different colors . 
_d4881 		oh yes , she has a blue balloon on her shirt , and a green balloon +... 
_d4881 		and a yellow balloon and an orange balloon and a red balloon ! 
_d4881 		and a green balloon . 
_d4881 		one blue , one red , one green , one yellow , one orange . 
_d4881 		xxx . 
_d4881 		those dolls match , don't they ? 
_d4881 		they have matching dresses . 
_d4881 		xxx .
_d4881 		oh is that doll still in the back+pack , let's check +//.
_d4881 		there she is , I see her head . 
_d4881 		there she is !
_d4881 		she fits with that doll +//.
