_d4930 		xxx .
_d4930 		if we can actually get any recording done here .
_d4930 		everything seems to be on . 
_d4930 		uh last time I saw Doggy Woggy he was on the stairs that go the basement . 
_d4930 		xxx what the  ? 
_d4930 		is that the orangutan puppet ? 
_d4930 		do you remember who gave you that for a present ? 
_d4930 		xxx and Uncle  . 
_d4930 		and Aunt  . 
_d4930 		they gave you that . 
_d4930 		xxx didn't come visit us on your birthday at your birthday party (be)cause she had to be somewhere else . 
_d4930 		xxx wasn't here but  was here . 
_d4930 		and Uncle  was here . 
_d4930 		oh , you're gonna squash him ? 
_d4930 		you like squashing animals . 
_d4930 		did you have fun at your birthday party ? 
_d4930 		xxx   that's a present from Grandma . 
_d4930 		actually no , that's a present from  . 
_d4930 		come here we'll look at it . 
_d4930 		bring it over here . 
_d4930 		we'll look at it . 
_d4930 		we'll read it together . 
_d4930 		could you get the tape that goes with it over there on the floor ? 
_d4930 		you hurt your arm ? 
_d4930 		oh come here let me kiss it . 
_d4930 		right there ? 
_d4930 		is it better ? 
_d4930 		here's the tape . 
_d4930 		this is called Arthur baby+sits . 
_d4930 		oh it's a book called Arthur baby+sits . 
_d4930 		&er d+w had a problem . 
_d4930 		I don't know +//. 
_d4930 		I don't see them . 
_d4930 		the Tibble twins are visiting again and they're driving me crazy she said . 
_d4930 		they're everywhere I go . 
_d4930 		oh , they can't be that bad said Arthur . 
_d4930 		how would you know , said d+w . 
_d4930 		what's their mommy doing ? 
_d4930 		that's Arthur's mommy . 
_d4930 		it looks likes she's making salad (.) sort of (.) or +... 
_d4930 		huh . 
_d4930 		she's making something . 
_d4930 		she has the Cuisinart just like we have . 
_d4930 		look at that . 
_d4930 		Arthur's mommy has a cuisinart . 
_d4930 		it's like a blender . 
_d4930 		you know the one we have ? 
_d4930 		it's shaped like that . 
_d4931 		it's Arthur's turn to cook ? 
_d4931 		oh , not his mommy's turn ? 
_d4931 		should I keep reading the book ? 
_d4931 		that's Mrs Tibble . 
_d4931 		later that afternoon Arthur and d+w took Kate for a walk . 
_d4931 		look shouted the Tibble twins , there's d+w . 
_d4931 		oh no said d+w . 
_d4931 		quick let's hide . 
_d4931 		Mrs Tibble looked worried . 
_d4931 		I'm in a terrible pickle she said . 
_d4931 		what on earth are you doing ? 
_d4931 		earth . 
_d4931 		are you taking your shirt off all by yourself ? 
_d4931 		yes , the dishwasher is making noise . 
_d4931 		I'm in a terrible pickle she said . 
_d4931 		I need a sitter for my grandsons tonight and I can't find one anywhere . 
_d4931 		Arthur can do it said d+w , he baby+sits me all the time . 
_d4931 		oh Arthur you're a +... 
_d4931 		a life saver said Mrs Tibble .
_d4931 		I'll call your mother and set it up right now . 
_d4931 		ugh , Mommy needs some tissue for a runny nose right away . 
_d4931 		right away . 
_d4931 		today is +/. 
_d4931 		yeah I think this week is Emma's birthday .
_d4931 		today is March  eighteenth . 
_d4931 		eighteenth .
_d4931 		can you say eighteenth ? 
_d4931 		March eighteenth , that's hard to say I would imagine . 
_d4931 		Naima is very into taking off her backpack . 
_d4931 		so: .
_d4931 		March eighteenth . 
_d4931 		can you say that ?
_d4931 		can you say March eighteenth ? 
_d4931 		is that funny ? 
_d4931 		you have one sleeve off and one sleeve on . 
_d4931 		you have a naked arm and an arm with a shirt on it . 
_d4931 		an arm with a glirt on it . 
_d4931 		we've been adding consonant clusters to the beginning of words that aren't the ones that belong there just for fun and especially in a swearing manner . 
_d4931 		one sleeve on and one sleeve off . 
_d4931 		you wanna put the other one on ? 
_d4931 		do you want me to help ? 
_d4931 		this is what we need to do . 
_d4931 		bend your elbow . 
_d4931 		okay . 
_d4931 		where's  ? 
_d4931 		where's you arm ? 
_d4931 		where's your arm ? 
_d4931 		there it is . 
_d4931 		there it is . 
_d4931 		what's who doing ? 
_d4931 		Arthur . 
_d4931 		his name is Arthur . 
_d4931 		he's taking his baby brother for a walk in a stroller . 
_d4931 		oh yeah , we saw  and  in Provincetown yesterday . 
_d4931 		that wasn't  house though , they were just staying there . 
_d4931 		that was a vacation house . 
_d4931 		you know when we went to Maine we stayed at a vacation house . 
_d4931 		they were at a vacation house also . 
_d4931 		xxx and  and  . 
_d4931 		but I'm not surprised you thought that was  house . 
_d4931 		(be)cause we've never been to  house . 
_d4931 		xxx . 
_d4931 		xxx house . 
_d4931 		xxx was there . 
_d4931 		who was  ? 
_d4931 		yes . 
_d4931 		did you pet him ? 
_d4931 		what part of him did you pet ? 
_d4931 		yes . 
_d4931 		you like to pet his tail . 
_d4931 		what kind of toys did he have ? 
_d4931 		what did he have_to play with ? 
_d4931 		yes , he had a tennis ball . 
_d4931 		you're right Naima . 
_d4931 		he did have a regular ball also . 
_d4931 		yeah , I guess you're right . 
_d4931 		and he had that funny , long red toy . 
_d4931 		um , I'm trying to remember what  said it was called . 
_d4931 		I think she said it was a ,  . 
_d4931 		something like a grab it . 
_d4931 		I think she throws the ball with that toy . 
_d4931 		you know  birthday is next week . 
_d4931 		actually , when is  birthday ? 
_d4931 		is it this week or next week ? 
_d4931 		it's this week ? 
_d4931 		oh . 
_d4931 		this week ? 
_d4931 		oh . 
_d4931 		this the week ? 
_d4931 		Arthur ? 
_d4931 		Arthur . 
