_d5113 		hurt your toe ? 
_d5113 		how bout [: about] if Mommy just gives it a kiss ? 
_d5113 		where's the toe ? 
_d5113 		o:h  . 
_d5113 		I don't know , did you (.) smash it on the floor a little bit ? 
_d5113 		today's May sixteenth . 
_d5113 		mmmm+hmmm .
_d5113 		let's look at this  , bunch of trucks here .
_d5113 		okay , Koala you can listen .
_d5113 		cmon [: come on] sit +//.
_d5114 		oh you're gonna sit there Naima ? 
_d5114 		okay .
_d5114 		I am gon(na) [: going to] +//.
_d5114 		I am gonna read it . 
_d5114 		okay . 
_d5114 		hey , they're having a picnic !
_d5114 		I think they're sitting on a blanket actually .
_d5115 		Miss Kitty Cat uses the bulldozer to cover the garbage with dirt . 
_d5115 		oh this is the dump I think . 
_d5115 		that's her right there . 
_d5115 		yeah .
_d5115 		she's using a bulldozer , she's driving a special truck +... 
_d5115 		she's covering up the garbage with dirt at the dump . 
_d5115 		that is a garbage truck . 
_d5115 		yes . 
_d5115 		it is .
_d5116 		he's using a red truck , called a squasher downer . 
_d5116 		and here's where they're recycling , see there's all the glass to be recycled is here . 
_d5116 		all the aluminum to be recycled is here and all the newspaper is here . 
_d5116 		this is the recycling truck . 
_d5116 		all these pigs and cats are recycling . 
_d5116 		some (.) glass containers . 
_d5116 		who makes glass , dyou [: do you] remember ? 
_d5116 		yeah .
_d5116 		yeah .
_d5116 		that pig's hair needs to be cut ? 
_d5116 		it's a little bit cut ? 
_d5116 		what are they eating ? 
_d5116 		mmmm+hmmm . 
_d5116 		o:h .
_d5116 		they probably do have a nice smell . 
_d5116 		looks like the red ones are tulips . 
_d5116 		mmmm .
_d5116 		those look like species tulips . 
_d5116 		dya [: do you] remember when we were at the restaurant +... 
_d5116 		on mother's day and we looked out the window . 
_d5116 		and we saw one species tulip out the window . 
_d5116 		and Daddy said +...
_d5116 		I love species tulips . 
_d5116 		hmmm .
_d5117 		what did you do with  , tonight ? 
_d5117 		oh , earlier today ? 
_d5117 		you went to the children's museum .
_d5117 		the Cape Cod children's museum while Mommy and Daddy went to the movies . 
_d5117 		you were gonna go to the library but it was closed . 
_d5117 		right ? 
_d5117 		oh where ? 
_d5117 		oh there were grape hyacinths there ?
_d5117 		did you smell them ?
_d5117 		those do have a smell . 
_d5117 		shall we see what's on the next page ?
_d5117 		I do love grape hyacinths . 
_d5117 		they smell very nice . 
_d5117 		yeah there it is .
_d5117 		you think he needs help because +..? 
_d5117 		it's hot with fire , I think you're right .
_d5117 		yes .
_d5117 		that is why he's saying hel(p) +//.
_d5117 		help . 
_d5117 		I'm taping .
_d5117 		dyou [: do you] wanna turn it off ? 
_d5117 		that's +/.
_d5117 		that raccoon is a brave firefighter .
_d5117 		she's putting on her pants to help put out the fire .
_d5118 		you can't put out a fire if you're not wearing any pants . 
_d5118 		I think you could put +//.
_d5118 		put out a fire without pants . 
_d5118 		that's true , your pants would get hot with fire . 
_d5118 		yep [: yes] , yep [: yes] .
_d5118 		he is , looks like he's also gonna spray the water on the pig . 
_d5118 		he's +/.
_d5118 		she's gonna get wet .
_d5118 		by accident . 
_d5118 		that reminds me of the cherry picker we saw yesterday , dyou [: do you] remember that ? 
_d5118 		o:h .
_d5118 		we saw a huge (.) truck with a white ladder , and someone was way up high in the cherry picker . 
_d5118 		was it an electrical truck or a telephone truck ? 
_d5118 		utility wires truck .
_d5118 		mmmm .
_d5118 		utility wires truck . 
_d5118 		dyou [: do you] remember +/?
_d5118 		they were fixing the utility wires . 
_d5118 		oh this is the fixer upper page , we did this page awhile ago . 
_d5118 		there were lots_of things here weren't there ? 
_d5118 		he's practically drowning in the basement . 
_d5118 		oh dear . 
_d5118 		cause [: because] there's a leak . 
_d5118 		that's a plumber . 
_d5118 		a leak in the pipes ! 
_d5118 		he has a wrench . 
_d5118 		he's fixing the furnace .
_d5118 		he's wearing overalls . 
_d5118 		he is . 
_d5118 		mmmm+hmmm .
_d5118 		yes .
_d5119 		he's a paper hanger . 
_d5119 		dyou [: do you] see any painters ? 
_d5119 		mmmm+hmmm . 
_d5119 		yep [: yes] .
_d5119 		I think he's fixing the , the lock of , on the door , yeah . 
_d5119 		he's the locksmith . 
_d5119 		he is . 
_d5119 		yeah , yeah . 
_d5119 		when did that start I didn't +//.
_d5119 		I'm just noticing it now .
_d5119 		that (.) dog , which dog ? 
_d5119 		oh that's a chimney sweep , he's fixing the chimney . 
_d5119 		cleaning it . 
_d5119 		oh it could be . 
_d5119 		your runny nose .
_d5119 		mmmm .
_d5120 		mmmm that's one of the sitters ? 
_d5120 		think it's a +...
_d5120 		is that a hyena ?
_d5120 		or a leopard ? 
_d5120 		looks like a leopard . 
_d5120 		xxx spots . 
_d5120 		cheetah has spots too . 
_d5120 		o:h .
_d5120 		o:h .
_d5120 		these are all wood workers !
_d5120 		they're making things out of wood ! 
_d5120 		what are they making ? 
_d5120 		mmmm+hmmm .
_d5120 		that rabbit is +... 
_d5120 		finishing (.) a table +... 
_d5120 		that rabbit made a table , and she's making the top of it very flat and smooth . 
_d5120 		that's called a power sander . 
_d5120 		that +//.
_d5120 		power sander +//.
_d5120 		that makes the top of the wood smoo:th . 
_d5120 		really soft .
_d5120 		very smooth and flat . 
_d5120 		oh yes that power sander uses electricity . 
_d5120 		yeah , so it's plugged into the wall . 
_d5120 		electricity .
_d5121 		mmmm+hmmm . 
_d5121 		that's right . 
_d5121 		that's right .
_d5121 		mmmm you were using +//.
_d5121 		you were using screws +... 
_d5121 		yesterday , weren't you . 
_d5121 		yeah .
_d5121 		you did help put together your bed , all three of us helped to put it together . 
_d5121 		yeah it was fun .
_d5121 		yep [: yes] .
_d5121 		allen wrenches , that's right .
_d5121 		that's right . 
_d5121 		that cat is standing on a ladder +... 
_d5121 		hammering a nail with a re:d hammer ! 
_d5121 		I think it's making (.) a +...
_d5121 		wooden house . 
_d5121 		and he's making the roof of the house . 
_d5121 		oh .
_d5121 		he's making the roof . 
_d5121 		mmmm+hmmm .
_d5121 		building the roof . 
_d5121 		mmmm+hmmm . 
_d5121 		that chicken is on top of that farmer's head . 
_d5121 		cow is looking at that pig farmer . 
_d5121 		okay I think it's sufficiently close to bedtime that (.) we should turn these +... 
_d5121 		tapes off .
_d5121 		xxx mess with your bagel , okay . 
