_d5206 		some recording now . 
_d5206 		today is July first . 
_d5206 		today is July first . 
_d5206 		well that's just the date today , that's why . 
_d5207 		you get more hummus by just sticking the ,  +..? 
_d5207 		the spoon in there ?
_d5207 		huh . 
_d5207 		no it's recording you right now , that's what it's doing . 
_d5207 		well , you know what I'll play it back for you afterwards .
_d5207 		after we record I'll +//.
_d5207 		I'll show you your picture . 
_d5207 		wouldju [: would you] like some kiwi or fresh banana ?
_d5207 		kiwi a:nd fresh banana .
_d5207 		mmmm !
_d5207 		it's  .
_d5207 		have a little more of your hummus while you're waiting .
_d5207 		cause [: because] I'm gonna cut this , it's gonna [: going to] take me a minute .
_d5208 		well , I'd like you to eat a little more hummus maybe . 
_d5208 		you know why , cause [: because] hummus is good for you it'll keep you healthy ? 
_d5208 		just like brushing your teeth keeps you healthy .
_d5208 		eating hummus also keeps you healthy .
_d5208 		you  strong ? 
_d5208 		well , the hummus will help you be strong .
_d5208 		all+right . 
_d5208 		you know , I'm not sure this kiwi's ripe , it's very hard . 
_d5208 		I'm gonna see if it's ripe .
_d5208 		it feels hard and a +//.
_d5208 		ripe kiwi , I think shouldn't feel this hard . 
_d5208 		but I'm gonna slice it , and I'm gonna try it , and then I will tell you if it's +...
_d5208 		okay to eat . 
_d5208 		cause it needs to be ripe .
_d5208 		before you can eat it , needs to be ripe .
_d5208 		because eating things that aren't ripe +...
_d5208 		um +//.
_d5208 		will sometimes make you sick . 
_d5208 		I think it's all+right actually . 
_d5208 		and I'm gonna put some banana in there too for you .
_d5208 		oh it's going to be so delicious ! 
_d5208 		yes . 
_d5208 		look at that !
_d5208 		fruit . 
_d5208 		bo:wl . 
_d5208 		it's a fruit bowl .
_d5208 		it's a fruity fruit bowl . 
_d5208 		cause there's fruit , in a bowl . 
_d5208 		I had fun at the beach today with you and  and  . 
_d5208 		all three of us were there . 
_d5208 		what ?
_d5208 		she was lending you her watering+can . 
_d5208 		I don't know if it was new though .
_d5208 		you think it was a new one ? 
_d5208 		yes , when you pooped in your bathtub we had to throw away your watering+can . 
_d5208 		cause it +//.
_d5208 		got +//.
_d5208 		too: dirty to clean .
_d5208 		well . 
_d5208 		you can't +//. 
_d5208 		you can't use something that has poop on it . 
_d5208 		sometimes you can clean things that have poop on em [: them] , and sometimes you can't . 
_d5208 		in this +//.
_d5208 		in this case you can't +... 
_d5208 		how's the kiwi , do you like it ? 
_d5208 		good . 
_d5208 		ouch . 
_d5208 		yes I went to a meeting at the food co+op .
_d5208 		that was +...
_d5208 		let's see , that was not last night , that was the night before last . 
_d5208 		that's where I was . 
_d5208 		I had to talk about what kind of food we're going to order .
_d5208 		what kind of food we want the truck to bring . 
_d5208 		that's what I was doing . 
_d5208 		well , because +//. 
_d5208 		the co+op is a group of people who have_to pick out things and have to decide things +... 
_d5208 		a:nd talk about the reasons we're gonna do things one way or the other . 
_d5208 		that's kinda [: kind of] what a meeting is , usually . 
_d5208 		the food co+op , yeah . 
_d5208 		you know who else was at that meeting ? 
_d5208 		you know  from play+group ? 
_d5208 		her Mommy was at that meeting and so was her grandma .
_d5208 		they're also in the food co+op . 
_d5208 		in fact they invited us to be in their food co+op . 
_d5208 		what ?
_d5208 		and then I came back from that meeting and I said hi: Naima: .
_d5208 		I did say bye+bye when I went .
_d5208 		and then I said hi . 
_d5208 		when I came back . 
_d5208 		I think I'm gonna make something like +... 
_d5208 		apricot squares , or something like that . 
_d5208 		where's my cookbook . 
_d5208 		I don't know if I'm gonna do it right now , but +//. 
_d5208 		I don't see the right cookbook here . 
_d5208 		hmmm . 
_d5208 		I'm looking for +//.
_d5208 		oh , there it is , it's wa:y up there . 
_d5208 		oops what'd I just do ? 
_d5208 		something fell down . 
_d5208 		I'll find it . 
_d5208 		oh , I see a magnet fell down . 
_d5208 		oh . 
_d5208 		what were you moving out of the way , the hummus ? 
_d5208 		I remember that too .
_d5208 		that's what happened .
_d5209 		well +... 
_d5209 		cause it +//.
_d5209 		kinda made a mess .
_d5209 		that's why . 
_d5209 		well , I think you didn't realize that you needed to poop . 
_d5209 		page seventy+two is completely missing ! 
_d5209 		page seventy+two in this cookbook is completely missing . 
_d5209 		well cause some pages are missing . 
_d5209 		this is a very old cookbook .
_d5209 		very very old . 
_d5209 		sometimes when books and other things get old they start to fall apart .
_d5209 		and get broken , just because they're old . 
_d5209 		it is old .
