_d5898 		fire+flies .
_d5898 		you're not happy that we found the fire+flies ?
_d5898 		the baby wants a diaper . 
_d5898 		xxx kind of uncomfortable .
_d5898 		and her mommy is going to be happy to sing happy birthday to her daughter .
_d5898 		xxx .
_d5898 		oh , Naima .
_d5899 		we went to all that trouble to find them . 
_d5899 		you have_to wear some underwear .
_d5899 		why did Daddy make that suggestion I wonder . 
_d5899 		I think it's a silly Daddy . 
_d5899 		he was trying to make a joke .
_d5899 		oh , sweetie .
_d5899 		they were what you wanted until Daddy said diapers .
_d5899 		okay , you can wear diapers . 
_d5899 		I don't actually care . 
_d5899 		I'll go get one . 
_d5899 		I'm getting your diaper  .
_d5899 		this is from your suggestion and from your suggestion alone . 
_d5899 		xxx .
_d5899 		oh , are you a little tiny baby ?
_d5899 		do you know where Daddy was when you were born ? 
_d5899 		he was looking right at you when you came out of my belly . 
_d5899 		that's where he was . 
_d5899 		mmmm .
_d5899 		he was right there to say hello . 
_d5899 		he was kind of like (.) the welcoming committee .
_d5899 		you know what a welcoming committee is ? 
_d5899 		a welcoming committee is someone or some people who say hello to someone who comes in to a new place . 
_d5899 		and when you came into (.) the world , out of the belly where it was dark , there were people there to say (.) hello: . 
_d5899 		and Daddy was the first one . 
_d5899 		and I said hello , Naima .
_d5899 		I couldn't see you cause you were down  far away from me . 
_d5899 		I said hello baby , welcome . 
_d5899 		Daddy was the first one who saw you .
_d5899 		and I said welcome , Naima: . 
_d5899 		glad to meet you: . 
_d5899 		what ?
_d5900 		xxx it's the food  . 
_d5900 		ah , well .
_d5900 		yeah , well , the dessert , and +/. 
_d5900 		I know I haven't eaten that much in a long , long time .
_d5900 		yeah , well I feel it's +/.
_d5900 		Naima , Naima !
_d5900 		Naima .
_d5900 		I'm taking the hair clip out of your hair . 
_d5900 		uh , because it +/.
_d5900 		so you'll be comfy .
_d5900 		sleep on it .
_d5900 		what's wrong with these pajamas , sweetie ?
_d5900 		well ,  , Grandma  took the (.) dirty , I mean the clean laundry away . 
_d5900 		is there a pair in there you wanna find ?
_d5900 		it's the stress of turning three .
_d5900 		that's what I think . 
