_d5983 		xxx that we haven't looked in for a long time . 
_d5983 		this is gonna go here . 
_d5983 		okay .
_d5983 		you're not f+one . 
_d5983 		I wonder what's back there . 
_d5983 		do you suppose there's some books that we haven't seen in a really long time .
_d5983 		I think you haven't maybe had enough +... 
_d5983 		breakfast . 
_d5983 		but let's see what's back there . 
_d5983 		hmmm . 
_d5983 		what mysterious things can I find +//? 
_d5983 		oh , here's something . 
_d5983 		you recognize that noise ? 
_d5983 		I recognize it . 
_d5983 		not you ? 
_d5983 		oh , that doesn't belong here . 
_d5983 		I'll show you in a second . 
_d5983 		it's like a what doesn't belong game . 
_d5983 		everything else seems to belong . 
_d5983 		but let's see what other pictures we have . 
_d5983 		oh , you're gonna like this . 
_d5983 		first of all this is what I was thinking of .
_d5983 		and this didn't belong back there did it ?
_d5983 		this is +...
_d5983 		this is about people +...
_d5983 		you might like these pictures . 
_d5983 		these are pictures of people who live in the Arctic . 
_d5983 		and look there's tents and they use reindeer .
_d5983 		look at that +... 
_d5983 		tent it's made out of animal +... 
_d5983 		fur . 
_d5983 		and that little child is wearing a suit all made out of +... 
_d5983 		animal skins to keep it warm . 
_d5983 		I think that's pretty interesting . 
_d5983 		and look at all the snow on the ground .
_d5983 		about the polar+bears ?
_d5983 		I think you're right .
_d5984 		let's see +//. 
_d5984 		what is the date today ? 
_d5984 		I think today is July tenth . 
_d5984 		and we're cleaning the car . 
_d5984 		with a toothbrush . 
_d5984 		can you believe it ? 
_d5984 		are you driving ? 
_d5984 		are you a car driver ? 
_d5984 		oh .
_d5985 		would you like to clean them for me ? 
_d5985 		no ? 
_d5985 		and the child is driving away by herself ? 
_d5985 		but children don't really drive cars .
_d5985 		do they ? 
_d5985 		they do: ? 
_d5985 		where is she going ? 
_d5985 		she going shopping ? 
_d5985 		what's she going to buy , this child ?
_d5985 		who's driving a car . 
_d5985 		she slept in the car ?
_d5985 		why's that ? 
_d5985 		oh . 
_d5985 		her mother's right here . 
_d5985 		and the mother said , yes dear . 
_d5985 		I'm right here . 
_d5985 		cleaning +... 
_d5985 		three year old +... 
_d5985 		spilled juice off the seat . 
_d5985 		well +... 
_d5985 		(be)cause we've never cleaned this seat . 
_d5985 		and there's quite a lotta [: lot of] dirt where your car seat was .
_d5985 		yeah , lotsa [: lots_of] dirt .
_d5985 		that's actually sand isn't it . 
_d5985 		do you wanna make some medicine bottles ? 
_d5985 		what ? 
_d5985 		here .
_d5985 		xxx . 
_d5985 		a  fly swatter ? 
_d5985 		out of legos ?
_d5985 		that's a(n) interesting idea . 
_d5985 		I wonder who will be at swim class today . 
_d5985 		Miss Susie . 
_d5985 		it's a new class so there might even be kids you know in it .
_d5985 		signed up again . 
_d5985 		well it's a new session of the class . 
_d5985 		starting . 
_d5985 		starting today . 
_d5985 		actually starting last week I think . 
_d5985 		how can that be ? 
_d5985 		driving away without a mother ? 
_d5985 		why is the child sad ? 
_d5985 		she doesn't enjoy driving ?
_d5985 		oh .
_d5985 		and her mama's [: mama is] right here with her in the car . 
