_d6019 		(o)kay . 
_d6019 		oh I'm gonna be the +/. 
_d6019 		yeah you can . 
_d6019 		I can't play if you don't clip it . 
_d6019 		please clip it let's play .
_d6019 		how (a)bout if I clip it to the bear ? 
_d6019 		xxx you have_to +//. 
_d6019 		that means you have_to keep them still though . 
_d6019 		okay , keep him +... 
_d6019 		well , while you're in the , while you're in the wagon just keep him right where he is okay . 
_d6019 		okay . 
_d6019 		but what's important is +//. 
_d6019 		in fact I'm gonna see if we +/. 
_d6019 		it's okay like this .
_d6019 		it's okay like this . 
_d6019 		xxx but the important thing is not to touch that too much .
_d6019 		or not to touch it at all actually . 
_d6019 		(be)cause that would mean we'd just hear fuzz when we play it back 
_d6019 		this is the microphone , if you touch it it's gonna (.) give a fuzz sound which won't be good .
_d6020 		no . 
_d6020 		so who's the customer am I gonna be a customer ? 
_d6020 		oh yeah . 
_d6020 		yeah +//. 
_d6020 		Naima's voice +/.
_d6020 		I noticed that . 
_d6020 		Naima's voice is not quite what it usually is . 
_d6020 		what does this go to ? 
_d6020 		oh right , okay . 
_d6020 		okay , I'm the store+owner . 
_d6020 		where is it +//? 
_d6020 		it's over there . 
_d6020 		there's a book mess on the floor +//. 
_d6020 		I don't think you can use the wagon when there's a book mess , can you ? 
_d6020 		mmmm .
_d6020 		really ? 
_d6020 		which way ? 
_d6020 		which way ? 
_d6020 		I didn't see which way you were pointing . 
_d6020 		this way ? 
_d6020 		that way ? 
_d6020 		that+a+way that+a+way .
_d6020 		this way that+a+way . 
_d6020 		oh , clunk  . 
_d6020 		I don't think we're gonna have a blizzard like that in a long time , Naima . 
_d6020 		that was probably one of the worst blizzards that Cape Cod has had in the last fifty years . 
_d6020 		it's a lotta [: lot of] years , yep [: yes] . 
_d6020 		twelve is a lotta [: lot of] years too . 
_d6020 		yeah . 
_d6020 		yep [: yes] . 
_d6020 		there was a very bad blizzard , almost this bad , seventeen years ago . 
_d6020 		that's a long time ago too , isn't it ? 
_d6020 		I guess Daddy will wear his mic(rophone) . 
_d6020 		although it's actually Naima's . 
_d6020 		a voice we really wanna have on our recording . 
_d6020 		I wish Naima would wear the microphone on her shirt so we would have a very good recording . 
_d6020 		if she stays where she is right now it'll be fine . 
_d6020 		if you wore the microphone on your shirt we would have a very good recording . 
_d6020 		oh , I know , that's what Mommy says .
_d6020 		but I think if you really wanted a really good recording , you would wear it on your shirt . 
_d6020 		if you wanted it . 
_d6020 		that way we +/.
_d6020 		I'm gotta open up my store . 
_d6020 		hope I get a lotta [: lot of] money and a lotta [: lot of] buyers today . 
_d6020 		okay .
_d6020 		okay . 
_d6020 		okay . 
_d6020 		okay , and what are we doing now . 
_d6020 		are we going to the grocery store ?
_d6020 		okay .
_d6020 		I'm I'm videotaping people at my store . 
_d6020 		oh , some stores do that , did you realize that ? 
_d6020 		some stores do that to protect themselves from robbers . 
_d6020 		well sometimes robbers go into stores when they wanna steal things and not pay money .
_d6020 		well because if it's recorded on the video then we have a picture of who the robber was and then the police can go find them later . 
_d6020 		so , that tells them they really shouldn't do that (be)cause they'll get caught very easily . 
_d6020 		well because if they know that there's pictures being taken of them , then (.) then they'll know that police can find them . 
_d6020 		yeah , that's the idea . 
_d6020 		so: , shall we go to the store ? 
_d6020 		(o)kay . 
_d6020 		so you're not gonna be Miss Chaos in this one are you . 
_d6020 		oh you're Miss Chaos the sister , okay . 
_d6020 		that makes me Mr Chaos . 
_d6020 		okay .
_d6020 		okay , very good . 
_d6020 		I'm  , okay . 
_d6020 		hello , store+owner . 
_d6020 		well we have first have_to get into the store , I was starting from the beginning . 
_d6020 		hello , store+owner . 
_d6020 		hello +/. 
_d6020 		oh , what do you say ? 
_d6020 		oh .
_d6020 		oh , okay , just go in and shop . 
_d6020 		yeah big stores you don't say hello , but small stores you might say hello to the store+owner . 
_d6020 		we're glad you're open after this big blizzard we need a lot of food +/.
_d6020 		okay , it's a big store , no conversation with the store+owner , okay I get it .
_d6021 		okay . 
_d6021 		what do we need Miss Chaos Mr Chaos ?
_d6021 		what do we need ?
_d6021 		I notice a few things are missing from the store shelves . 
_d6021 		okay right just right now ? 
_d6021 		later when we come for checkout .
_d6021 		what do we need Miss Chaos , Mr Chaos ?
_d6022 		a little dahl that's good . 
_d6022 		what else do we need ?
_d6022 		okay . 
_d6022 		how much is it can I see ? 
_d6022 		oh okay that's a dollar that's a good price .
_d6022 		and I need some cereal , I'm all out .
_d6022 		those are tea (.) tea bags . 
_d6022 		yes of course , I do . 
_d6022 		alright . 
_d6022 		xxx some bags from my store . 
_d6022 		oh yeah you need some bags to +/.
_d6022 		I just realized that we have +/. 
_d6022 		we have a bag right (.) there . 
_d6022 		I got one  .
_d6022 		oh that's not it , okay . 
_d6022 		alright , so anything else Miss Chaos , Mr Chaos ? 
_d6022 		Mr Chaos seems to be taking a nap . 
_d6022 		xxx  . 
_d6022 		oh he's shy , okay . 
_d6022 		I thought I was his father +/.
_d6022 		oh boy I really want +/.
_d6022 		chocolates from L A Burdick of course .
_d6022 		yeah they're excellent dessert chocolates . 
_d6022 		I think that's enough +//.
_d6022 		I don't know if I have enough money . 
_d6022 		we should probably get some tofu for protein for our children . 
_d6022 		will you eat some tofu Miss Chaos ? 
_d6022 		good .
_d6022 		oh you do , well that's news to me , okay .
_d6022 		I see .
_d6022 		time to check out +//. 
_d6022 		let's check out . 
_d6022 		here's the checkout counter . 
_d6022 		beep . 
_d6022 		beep . 
_d6022 		that's a dollar that's a dollar . 
_d6022 		beep that's a hundred dollars . 
_d6022 		hey , that's too much . 
_d6022 		no no no .
_d6022 		it's imported from the united+kingdom . 
_d6022 		no no no that's too much money Miss Chaos . 
_d6022 		that's highway robbery . 
_d6022 		very healthy food . 
_d6022 		well we are not gonna spend a hundred dollars on dahl . 
_d6022 		can you believe it dahl ? 
_d6022 		a hundred dollars on dahl ?
_d6022 		but look at the fresh herbs . 
_d6022 		did you realize you were buying dahl for a hundred dollars ? 
_d6022 		well then let's not buy it . 
_d6022 		alright . 
_d6022 		I'll put it on the shelf and get you a toy instead .
_d6022 		xxx . 
_d6022 		okay , how (a)bout a nice (.) sticker book ? 
_d6022 		good , let's get a sticker book . 
_d6022 		oh , the room's toystore +//. 
_d6022 		okay I'm going to the room's toystore . 
_d6022 		let's see what I can find . 
