_t4 		xxx okay let see , we in business ? 
_t4 		are you gonna draw your toes again ? 
_t4 		this is  November fifteenth again we taped about fifteen minutes on another tape . 
_t4 		you wanna draw my toes if I put my foot down you wanna [: want to] draw my toe ? 
_t4 		hmmm good job . 
_t4 		xxx that tickles . 
_t4 		if you stand up I'll draw your toe .
_t4 		put your foot here and I I'll draw around your foot . 
_t4 		okay ready . 
_t4 		drawing all the way around your foot now . 
_t4 		oo:h . 
_t4 		I was drawing your foot . 
_t4 		yeah I'm gonna measure that (be)cause I need to measure your foot anyway . 
_t4 		this is that was your right foot . 
_t4 		right foot . 
_t4 		you want me to draw your other toe I mean your other foot you're stepping on this . 
_t4 		put your left foot here yeah .
_t4 		okay make it nice and flat okay . 
_t4 		oh excellent . 
_t4 		drawing all the little toes and your heel is back here .
_t4 		xxx there I'm done . 
_t4 		let see it there it is . 
_t4 		left foot .
_t4 		xxx . 
_t4 		what nice big feet you have my dear .
_t4 		oh you have a play+ground for you friend there . 
_t4 		is she sliding down ? 
_t4 		did you give her a name I didn't know that you named her . 
_t4 		what's her name ? 
_t4 		I was trying to get you on the camera . 
_t4 		I guess not . 
_t4 		hey we have all these hair elastic here too . 
_t4 		you wanna sort them . 
_t4 		o:h . 
_t4 		they went on the floor . 
_t4 		they went on the floor . 
_t4 		oh are there frogs there somewhere ? 
_t4 		I know where there is a frog . 
_t4 		I saw it this morning . 
_t4 		yeah . 
_t4 		here's a frog . 
_t4 		he lives in Maine . 
_t4 		that Jeremiah lives in  this is little Jeremiah .
_t4 		young Jeremiah oh+my+goodness . 
_t4 		this paper fell down here .
_t4 		is this young Jeremiah ? 
_t4 		yeah how many colors do we have here ? 
_t4 		you think Mr Paint Pig painted all these hair elastics ? 
_t4 		I see purple . 
_t4 		you wanna wear the frogs today ? 
_t4 		okay .
_t4 		I think the other butterflies are in Mommy's pants pocket . 
_t4 		let's put all the blue ones in one place . 
_t4 		sorting them . 
_t4 		blue blue can you put some blue ones in here ? 
_t4 		blue . 
_t4 		you see some blue ones mixed in here don't you ? 
_t4 		yeah that's blue that's pink . 
_t4 		purple blue white . 
_t4 		white blue . 
_t4 		white .
_t4 		blue blue .
_t4 		you want the frog in . 
_t4 		you can wear that one today . 
_t4 		that would be fine . 
_t4 		here's some more purple purple . 
_t4 		let's put all the pink and and red ones and orange ones in here . 
_t4 		orange .
_t4 		that's sort of a light blue green . 
_t4 		ah: you gonna put them on your toes .
_t4 		you gonna put them on your toes . 
_t4 		ah I'll get the other well actually I don't think I know where the other frog is . 
_t4 		I know that the other butterfly is in my pants pocket . 
_t4 		where is the butterfly by the way ? 
_t4 		do you have the butterfly ? 
_t4 		butterfly is dark blue . 
_t4 		is not there . 
_t4 		we just had it here .
_t4 		we just had it . 
_t4 		are you sitting on it ? 
_t4 		are you holding it in your other hand ? 
_t4 		oh there it is . 
_t4 		are you gonna put it on your toes ?
_t4 		I drew your foot that was fun . 
_t4 		hmmm   yeah true . 
_t4 		I did draw your foot in green with the green pencil . 
_t4 		it looked good . 
_t4 		are your feet green ? 
_t4 		hey is your tongue still blue like it was earlier ? 
_t4 		it is it's still blue . 
_t4 		blue for blueberries . 
_t4 		you gonna look in the mirror and see it . 
_t4 		stick it out is it blue ? 
_t4 		yeah it sure is .
_t4 		is my tongue what color is my tongue ? 
_t4 		is Mommy's tongue blue ? 
_t4 		oh I did have blueberries actually . 
_t4 		maybe my tongue is blue . 
_t4 		your tongue is very blue from all of those blueberries . 
_t4 		so what we decide frogs or butterflies ? 
_t4 		okay . 
_t4 		you want these two in your hair ? 
_t4 		oh that's Mommy's  pills . 
_t4 		that's that's Mommy's special pills to make my back feel better . 
_t4 		oh thank you sweetie . 
_t4 		oh there's a star fish toy yeah . 
_t4 		stuck ?
_t4 		is it stuck ? 
_t4 		oh okay I'll take it out from the top . 
_t4 		here you go . 
_t4 		I'm gonna go look for the other frog in my pants pocket I'll be right back . 
_t4 		Mommy is looking . 
_t4 		looking for more hair elastics in my dirty cloths . 
_t4 		I thought it was there but now I'm not seeing it there . 
_t4 		hmmm  I'm gonna look in here now . 
_t4 		just looking for more hair elastics . 
_t4 		oh this diaper definitely needs to go into the diaper pail   . 
_t4 		we need to get ready to go soon .
_t4 		we gonna be going to the music class very soon . 
_t4 		you need a clean diaper and clean +//.
_t4 		have what star fish yeah . 
_t4 		hi star fish . 
_t4 		hi star fish .
_t4 		yes she has eyes . 
_t4 		see if I have anything here . 
_t4 		the tag  the tag needs to stay on actually . 
_t4 		hey I found the other frog in my bag . 
_t4 		now you have two frogs to wear . 
_t4 		can you pick up those pants and bring them into your room so we can put them on ? 
_t4 		okay .
_t4 		you gonna be the king again you gonna put that on like a crown . 
_t4 		okay . 
_t4 		what did Mommy do with the pills . 
_t4 		you are the king of wild things .
_t4 		you are so wild .
_t4 		did you make mischief this morning ? 
_t4 		what ? 
_t4 		of one kind or another .
_t4 		you did make mischief didn't you ? 
_t4 		oh right here . 
_t4 		are you the king of wild things ? 
_t4 		what's that ? 
_t4 		can you show me over here ? 
_t4 		bring it over here so I can see .
_t4 		oh a fox . 
_t4 		no no .
_t4 		that's a wolf I'm sorry wolf . 
_t4 		that's a Daddy wolf and a baby wolf . 
_t4 		the wolf called  that's a loon . 
_t4 		and a loon chick . 
_t4 		see the chick on the Daddy's back ? 
_t4 		and there's a frog right there . 
_t4 		oh wait is that a turtle that's a turtle right there . 
_t4 		the turtle is swimming . 
_t4 		the turtle is swimming . 
_t4 		next to the loon . 
_t4 		the turtles and the loons are swimming together . 
_t4 		are they kissing ? 
_t4 		and the Daddy loon is swimming and the baby's so little . 
_t4 		the baby probably doesn't swim very fast if at all . 
_t4 		so the Daddy loon carries the baby loon on his back . 
_t4 		and they swim together .
_t4 		that's the wolf and the cub . 
_t4 		Daddy wolf and the wolf cub . 
_t4 		they are howling . 
_t4 		they are howling they are saying  . 
_t4 		that's how wolf howl sometimes . 
_t4 		oh yeah just like that that's right .
_t4 		oh are you a wolf cub ? 
_t4 		where the nuts go ? 
_t4 		nuts .
_t4 		yeah . 
_t4 		where did they go ? 
_t4 		oh there they are .
_t4 		were they falling out I'm gonna put them right there . 
_t4 		monkey where's the monkey ? 
