_t4 		this is later the same day the twenty+ninth . 
_t4 		is that the doll's doll you have there ? 
_t4 		oh is that the book  gave you ? 
_t4 		shall we read that ? 
_t4 		fat cat I've been awake all night . 
_t4 		on goes Ted's light . 
_t4 		let's go to big pig's Ted says .
_t4 		wake up pi:g . 
_t4 		get out of bed ! 
_t4 		but where is Sam Shee:p ? 
_t4 		o:h he's fast aslee:p . 
_t4 		we miss +//.
_t4 		we skipped the first part of that book didn't we . 
_t4 		here's the beginning +//.
_t4 		wait , here's the first page . 
_t4 		Sam Sheep can't sleep . 
_t4 		he gets up . 
_t4 		Pup barks , it's late , it's dark , but they go for a walk . 
_t4 		in the park .
_t4 		Fat Cat I've been awake all night . 
_t4 		let's go to see Ted . 
_t4 		on goes Ted's light +//.
_t4 		that's a teddy bear . 
_t4 		xxx they're looking in the window at him . 
_t4 		what +//.
_t4 		what does he have in his room ?
_t4 		oh my gosh , he has a television in his room . 
_t4 		that teddy bear . 
_t4 		in his bedroom . 
_t4 		let's go to Big Pig's , says Ted . 
_t4 		wake up Pi:g . 
_t4 		get out of be:d . 
_t4 		there's the pig's room . 
_t4 		what's the +//. 
_t4 		that pig is in bed . 
_t4 		yeah .
_t4 		a dance will help you sleep Sam Sheep , that's what Pig says . 
_t4 		but where is Sam Sheep ? 
_t4 		he's fast aslee:p , he's on that (.) chair , sleeping .
_t4 		okay , which one is that .
_t4 		okay +...
_t4 		that 
_t4 		that's toad making a road , yeah .
_t4 		that book is called Toad makes a road . 
_t4 		okay , let's read it . 
_t4 		it's a lo:ng way up . 
_t4 		but such a thrill . 
_t4 		her things are coming in a truck . 
_t4 		she:'s out of lu:ck , time ticks o:n . 
_t4 		I can't drive up there the load will spill , so Toad has to push it all +... 
_t4 		up the hi:ll .
_t4 		oh my gosh . 
_t4 		at breakfast Toad has a slice of toast +//.
_t4 		dyou [: do you] wanna look through that ? 
_t4 		you can see the book through the camera . 
_t4 		I'll build a road , up here she boasts . 
_t4 		a few days later , the road is ready .
