_t4 		what would you like ? 
_t4 		what colors of markers ? 
_t4 		okay . 
_t4 		take the horse colors away okay . 
_t4 		ahh today is January nineteenth . 
_t4 		and we're going to get the receiver and the mikes ooh more for me . 
_t4 		Naima was painting today this morning already .
_t4 		I'll get you some other colors and markers . 
_t4 		o:h here's a nice blue one and a nice yellow one .
_t4 		there . 
_t4 		oh different paper . 
_t4 		okay . 
_t4 		other paper . 
_t4 		the yellow has orange in it . 
_t4 		yeah it looks darker that color of yellow there's some pink paper . 
_t4 		okay lets get our equipment . 
_t4 		Daddy probably be out of the shower in a minute . 
_t4 		mmmm .
_t4 		little Betty Anne . 
_t4 		what's that ? 
_t4 		oh draw around trace around your hand . 
_t4 		okay . 
_t4 		okay okay  . 
_t4 		what did you get ?
_t4 		show me your hand yes this is Billy Barlow . 
_t4 		put your hand out straight all your fingers need to go straight . 
_t4 		yes it is . 
_t4 		Billy Barlow .
_t4 		okay I draw your yellow hand just a minute .
_t4 		I'm putting on my microphone .
_t4 		on Mommy yeah . 
_t4 		xxx  excuse me that's yours . 
_t4 		that is blue .
_t4 		I'll get you dark green one like you want it . 
_t4 		here's a light green one and a dark green one . 
_t4 		it's still January nineteenth . 
_t4 		Billy Barlow . 
_t4 		oh that's a circle you are drawing wow . 
_t4 		you put it on by yourself  . 
_t4 		mmmm+hmmm . 
_t4 		it's breakfast time soon for you . 
_t4 		it's marker time . 
_t4 		yeah it seems to be marker time and then it will be breakfast time . 
_t4 		do you know how old you are Naima , how old are you ? 
_t4 		how old are you ? 
_t4 		you know what the answer is ? 
_t4 		almost two .
_t4 		you can say almost two . 
_t4 		Naima is twenty+two months old right now . 
_t4 		mmmm you have dark green .
_t4 		I'm gonna write down on these paintings what you said they were . 
_t4 		how's Mommy .
_t4 		this is okay .
_t4 		butterfly . 
_t4 		I forgot I was going to say .
_t4 		how's the baby .
_t4 		oh   had a lobster on her shirt . 
_t4 		look at the lobster that Naima painted Daddy . 
_t4 		hey .
_t4 		wow .
_t4 		that part she said is a lobster .
_t4 		oh who had a lobster . 
_t4 		xxx and this is a W and a butterfly .
_t4 		o:h very nice . 
_t4 		yellow butterfly . 
_t4 		and I think you said the butterfly has whiskers . 
_t4 		didn't you ? 
_t4 		xxx  .
_t4 		oh .
_t4 		who had the lobster on her shirt ? 
_t4 		who ? 
_t4 		xxx .
_t4 		xxx .
_t4 		xxx . 
_t4 		xxx was playing . 
_t4 		she was eating too . 
_t4 		or overrun with paintings of  do you . 
_t4 		okay .
_t4 		I just put this down .
_t4 		Daddy's going .
_t4 		okay . 
_t4 		alright oops .
_t4 		Daddy's going to the hospital boo .
_t4 		I see you later . 
_t4 		I'm gonna see people . 
_t4 		I'm sorry I gotta go . 
_t4 		he's gonna make people feel better right .
_t4 		yeah . 
_t4 		at the hospital that what he does . 
_t4 		I see you later boo . 
_t4 		can I give you a kiss ? 
_t4 		oh I want too  . 
_t4 		mmmm .
_t4 		mmmm bye Mommy bye baby+o . 
_t4 		bye  Daddy .
_t4 		I'll be back as soon as I can . 
_t4 		well let's stay in touch in case a visit is in order . 
_t4 		okay yeah I mean it really depends on it . 
_t4 		if you yeah .
_t4 		Gods with the ear but I'll see if I'd be done by eleven . 
_t4 		oh that would be very nice . 
_t4 		xxx office I believe so (be)cause they will shut down all our computers at three .
_t4 		oh yeah .
_t4 		see you .
_t4 		do you wanna see him brush off just brush the snow off his car ?
_t4 		xxx . 
_t4 		what's Daddy gonna do do you think ? 
_t4 		oh may be he's not even gonna [: going to ] bother . 
_t4 		maybe the wipers on the car are gonna brush off the snow for him . 
_t4 		it's snowing right now .
_t4 		where are the wipers do you see the wipers ?
_t4 		wipers are on the glass in the front . 
_t4 		bye Daddy . 
_t4 		he went to the hospital . 
_t4 		he already drove it away .
_t4 		he's already gone . 
_t4 		I'm afraid we don't have any frozen banana right now . 
_t4 		I'm checking right now . 
_t4 		well I checked there and aren't any frozen bananas but there are some . 
_t4 		yeah there are yeah you could have fresh banana .
_t4 		you want fresh banana ? 
_t4 		okay . 
_t4 		we have_to get your hands clean now . 
_t4 		alright . 
_t4 		xxx had a lobster on her shirt . 
_t4 		xxx . 
_t4 		xxx .
_t4 		yeah she was playing that was a long time ago though . 
_t4 		can you put the cap can you put the cap on ? 
_t4 		put the cap on that green one . 
_t4 		wow you did it . 
_t4 		you learned how to do that today . 
_t4 		well you can wash your friends after you eat a little bit of breakfast . 
_t4 		actually I don't know what this one is called . 
_t4 		you have a cold you are sick . 
_t4 		Lou Lion Morning ? 
_t4 		let me see what there might be some words like that in the song . 
_t4 		you mean to see what is called . 
_t4 		well I don't know I'm still washing your hands . 
_t4 		we're gonna eat first you want some fresh banana ? 
_t4 		okay . 
_t4 		oh yeah you can have puffed wheat and puffed rice . 
_t4 		this marker really is not very washable . 
_t4 		I'm trying to clean off the darn marker . 
_t4 		it doesn't wanna come off .
_t4 		we gonna have_to get some different markers I think because those just don't wash off like they are suppose too . 
_t4 		xxx .
_t4 		she did have a lobster on her shirt . 
_t4 		or sh(e) she actually had a shirt that said Cape Cod . 
_t4 		did you know that ? 
_t4 		her shirt said Cape Cod . 
_t4 		what ?
_t4 		there were a lot of people visiting that day .
_t4 		do you remember seeing the smoke they had incense and there was a lot of smoke there . 
_t4 		xxx Mommy's name is  . 
_t4 		xxx is her name . 
_t4 		she was taking care of her three little girls . 
_t4 		you know what their names are . 
_t4 		tell me . 
_t4 		Naima tell Mommy because you remember . 
_t4 		who had a lobster on her shirt Naima ? 
_t4 		yes .
_t4 		what were her sisters names ? 
_t4 		she was playing with your toys too . 
_t4 		and the other little girl's name was  . 
_t4 		can you say that  . 
_t4 		playing . 
_t4 		oh they were eating also yeah . 
_t4 		you wanted puffed rice and puffed wheat do you want it soggy or crunchy . 
_t4 		okay here's the puffed wheat and here's the puffed rice . 
_t4 		you want it soggy ? 
_t4 		okay . 
_t4 		I don't know which do you want the wheat and the rice to be soggy . 
_t4 		okay soggy soggy soggy soggy . 
_t4 		do you want a spoon boo ? 
_t4 		yes I'll give you a baby spoon . 
_t4 		oh that's a fork . 
_t4 		umm . 
_t4 		you don't you don't have_to eat it . 
_t4 		there's no avocado we eat it last night at dinner time remember . 
_t4 		avocado is all gone . 
_t4 		oh you could have yogurt I'll get some for you . 
_t4 		hmmm that's not yogurt . 
_t4 		you're singing who mourn for me . 
_t4 		there's the yogurt . 
_t4 		we don't have hummus right now . 
_t4 		we could buy some today . 
_t4 		well we could go to Cape Cod Natural Foods and buy hummus . 
_t4 		that would be easy to do . 
_t4 		let me make a list . 
_t4 		a shop more .
_t4 		oh okay we get you some blueberries . 
_t4 		let me write a shopping list .
_t4 		hummus summer vegetables I don't think they have avocado but we can check . 
_t4 		where are your new teeth do you know where your new teeth are ?
_t4 		do you know where they are ? 
_t4 		are they in your mouth ?
_t4 		are they incisors ? 
_t4 		do you want a spoon ? 
_t4 		I get you spoon . 
_t4 		that fork didn't make much sense did it . 
_t4 		mmmm okay where was I where was I was I was I . 
_t4 		was I was I .
_t4 		cock+a+doodle doodle+do . 
_t4 		what this c+d called ? 
_t4 		do you know what's called ? 
_t4 		that was the song do you remember what the c+d's called ? 
_t4 		American music . 
_t4 		American folk songs . 
_t4 		you call it American music . 
_t4 		you'd like some cheese okay . 
_t4 		jack cheese that sounds good .
_t4 		I'll get you some . 
_t4 		why don't you have a few more .
_t4 		we do have it .
_t4 		oh you need your nose wiped . 
_t4 		what comes after this ? 
_t4 		log . 
_t4 		okay let's find the jack cheese for you to eat . 
_t4 		ducks in the mill pond is that next ? 
_t4 		that comes after the dog tick song . 
_t4 		you know .
_t4 		this is .
_t4 		this isn't the ducks in the mill pond song it came on just now .
_t4 		I can't believe you were wrong for once . 
_t4 		it is ? 
_t4 		oh this is about Liza yep [: yes] . 
_t4 		oh how I love her . 
_t4 		good bye Liza Jane . 
_t4 		here is the jack cheese for you . 
_t4 		you know what why don't you eat what you have here if you're still hungry when you're finished eating these things then I'll get you what ever you want . 
_t4 		mmmm .
_t4 		I think it's actually called good bye Liza Jane .
_t4 		oh this is ducks in the mill pond I think you're right .
_t4 		no this isn't ducks in the mill pond . 
_t4 		you wanna hear ducks in the mill pond . 
_t4 		let see what this is . 
_t4 		let listen to this for a minute . 
_t4 		I wanna find out what this is .
_t4 		and then we look for ducks in the mill pond when this is finished . 
_t4 		well I'll tell you what I'll forward it . 
_t4 		oh .
_t4 		this is a pig song .
_t4 		oink oink oink . 
_t4 		this is a song about a pig . 
_t4 		a pigs the pigs pigs pigs .
_t4 		oink oink oink .
_t4 		alright I'll forwarded .
_t4 		oink oink oink . 
_t4 		oink oink oink . 
_t4 		oh+my+goodness . 
_t4 		what does Naima want to listen to . 
_t4 		ducks in the mill pond okay .
_t4 		let me see if I can find it . 
_t4 		where is ducks in the mill pond . 
_t4 		where's that c+d case . 
_t4 		here on this one . 
