_t4 		xxx has the (.) transmitter in it . 
_t4 		it just has the transmitter in it . 
_t4 		do you want me to put it on your back , and you can carry it around ?
_t4 		it's the very special one . 
_t4 		that  gave you . 
_t4 		yeah !
_t4 		you wanna put toys in the back+pack , okay . 
_t4 		you know what , this backpack has a special (.) little pocket . 
_t4 		wanna put the doll in there ? 
_t4 		o:h , she can go for a ride ! 
_t4 		on your back ! 
_t4 		oh , okay . 
_t4 		oh well . 
_t4 		how about if I put another toy in to go for a ride ? 
_t4 		you wanna carry it , okay . 
_t4 		Mommy would like to put this on your back , okay ?
_t4 		on your chest ,  , let's put it on your chest . 
_t4 		look  , look in the mirror ! 
_t4 		you're carrying that on your chest . 
_t4 		wanna see in the mirror how that looks ? 
_t4 		and here's the +//.
_t4 		where's the doll , where's the doll ?
_t4 		where's the doll , look , surprise ! 
_t4 		you're carrying that doll like a baby in a baby bundler . 
_t4 		look in the mirror , look in the mirror .
_t4 		now  you're gonna carry it ?
_t4 		okay don't (.) cry . 
_t4 		you had a little doll in the back+pack pocket . 
_t4 		okay +... 
_t4 		there's the doll ! 
_t4 		she's in your hand . 
_t4 		what's she gonna do now ? 
_t4 		is she gonna have a picnic with the other dolls ? 
_t4 		oh good . 
_t4 		what's she gonna eat at the picnic ? 
_t4 		let's see +...
_t4 		oh those little dolls don't really know how to sit properly . 
_t4 		the big dolls know how to sit .
_t4 		you want some help putting the dress on her ?
_t4 		okay .
_t4 		xxx . 
_t4 		let's see here . 
_t4 		want help  okay .
_t4 		four , three , two , one .
_t4 		today must be Saturday , March first .
_t4 		(be)cause it is Saturday . 
_t4 		you were sick the last few days . 
_t4 		what happened when you were sick , do you remember ? 
_t4 		you're better now , you're feeling better now , right ? 
_t4 		yeah , you don't nursie as much when you're sick , right . 
_t4 		oh , she's sitting with her +... 
_t4 		where's the green doll ? 
_t4 		she has decorations on her shirt ? 
_t4 		oh , all different colors . 
_t4 		oh yes , she has a blue balloon on her shirt , and a green balloon +... 
_t4 		and a yellow balloon and an orange balloon and a red balloon ! 
_t4 		and a green balloon . 
_t4 		one blue , one red , one green , one yellow , one orange . 
_t4 		xxx . 
_t4 		those dolls match , don't they ? 
_t4 		they have matching dresses . 
_t4 		xxx .
_t4 		oh is that doll still in the back+pack , let's check +//.
_t4 		there she is , I see her head . 
