_t4 		xxx .
_t4 		if we can actually get any recording done here .
_t4 		everything seems to be on . 
_t4 		uh last time I saw Doggy Woggy he was on the stairs that go the basement . 
_t4 		xxx what the  ? 
_t4 		is that the orangutan puppet ? 
_t4 		do you remember who gave you that for a present ? 
_t4 		xxx and Uncle  . 
_t4 		and Aunt  . 
_t4 		they gave you that . 
_t4 		xxx didn't come visit us on your birthday at your birthday party (be)cause she had to be somewhere else . 
_t4 		xxx wasn't here but  was here . 
_t4 		and Uncle  was here . 
_t4 		oh , you're gonna squash him ? 
_t4 		you like squashing animals . 
_t4 		did you have fun at your birthday party ? 
_t4 		xxx   that's a present from Grandma . 
_t4 		actually no , that's a present from  . 
_t4 		come here we'll look at it . 
_t4 		bring it over here . 
_t4 		we'll look at it . 
_t4 		we'll read it together . 
_t4 		could you get the tape that goes with it over there on the floor ? 
_t4 		you hurt your arm ? 
_t4 		oh come here let me kiss it . 
_t4 		right there ? 
_t4 		is it better ? 
_t4 		here's the tape . 
_t4 		this is called Arthur baby+sits . 
_t4 		oh it's a book called Arthur baby+sits . 
_t4 		&er d+w had a problem . 
_t4 		I don't know +//. 
_t4 		I don't see them . 
_t4 		the Tibble twins are visiting again and they're driving me crazy she said . 
_t4 		they're everywhere I go . 
_t4 		oh , they can't be that bad said Arthur . 
_t4 		how would you know , said d+w . 
_t4 		what's their mommy doing ? 
_t4 		that's Arthur's mommy . 
_t4 		it looks likes she's making salad (.) sort of (.) or +... 
_t4 		huh . 
_t4 		she's making something . 
_t4 		she has the Cuisinart just like we have . 
_t4 		look at that . 
_t4 		Arthur's mommy has a cuisinart . 
_t4 		it's like a blender . 
_t4 		you know the one we have ? 
_t4 		it's shaped like that . 
_t4 		it's Arthur's turn to cook ? 
_t4 		oh , not his mommy's turn ? 
_t4 		should I keep reading the book ? 
_t4 		that's Mrs Tibble . 
_t4 		later that afternoon Arthur and d+w took Kate for a walk . 
_t4 		look shouted the Tibble twins , there's d+w . 
_t4 		oh no said d+w . 
_t4 		quick let's hide . 
_t4 		Mrs Tibble looked worried . 
_t4 		I'm in a terrible pickle she said . 
_t4 		what on earth are you doing ? 
_t4 		earth . 
_t4 		are you taking your shirt off all by yourself ? 
_t4 		yes , the dishwasher is making noise . 
_t4 		I'm in a terrible pickle she said . 
_t4 		I need a sitter for my grandsons tonight and I can't find one anywhere . 
_t4 		Arthur can do it said d+w , he baby+sits me all the time . 
_t4 		oh Arthur you're a +... 
