_t4 		xxx are you giving me a present ? 
_t4 		oh are you showing me something ?
_t4 		yes . 
_t4 		I see that . 
_t4 		presents to plant . 
_t4 		that's a nice kind of present . 
_t4 		thank you . 
_t4 		it's alright with me if you want to take the seeds out of that seed packet and put them in envelopes . 
_t4 		that would be fine . 
_t4 		while I'm sorting these seeds +//. 
_t4 		today is Sunday +... 
_t4 		April +...
_t4 		eight +/.
_t4 		you can do that if you want and put them in here if you feel like it . 
_t4 		or just put them in here . 
_t4 		did we say what was the date today ? 
_t4 		do you remember ? 
_t4 		was it the seventeenth or the eighteenth . 
_t4 		(be)cause you looked at it on the calendar and so did I . 
_t4 		the different color ? 
_t4 		yeah bean seeds are not all the same color .
_t4 		okay , signet marigold . 
_t4 		it's okay you can pick them up .
_t4 		those are big seeds . 
_t4 		they're easy to find . 
_t4 		sow indoors . 
_t4 		lightly cover seed . 
_t4 		harden often . 
_t4 		okay . 
_t4 		we will plant some of these and those today too . 
_t4 		fever fuel . 
_t4 		xxx  .
_t4 		the ones that you have . 
_t4 		right there , those brown ones . 
_t4 		you can take them . 
_t4 		xxx    . 
_t4 		xxx  .
_t4 		you can do that . 
_t4 		you well we can plant them when it's time to plant them . 
_t4 		you know those zinnias that we planted last year never came up . 
_t4 		here's the package of seeds from the zinnias . 
_t4 		that was kind of disappointing . 
_t4 		what was funny . 
_t4 		that they never came up ?
_t4 		I know . 
_t4 		sow seeds outdoors in early (.) spring . 
_t4 		maybe we should +//. 
_t4 		I think we might need to go to the garden store to get some (.) flats to put our seedlings in . 
_t4 		we have some containers but we don't +//. 
_t4 		we don't quite have enough . 
_t4 		this is parsley . 
_t4 		xxx . 
_t4 		direct sunlight . 
_t4 		and basically empty . 
_t4 		carrots . 
_t4 		yeah I think you're right . 
_t4 		uh .
_t4 		I know . 
_t4 		best grown as a   crop .
_t4 		plant in mid+june .
_t4 		I don't think so . 
_t4 		I don't know why the carrots didn't come up .
_t4 		I've always had trouble growing carrots . 
_t4 		I don't know if it's because of the soil . 
_t4 		it's not the right kind of soil or what . 
_t4 		these need to be planted in June . 
_t4 		or July . 
_t4 		what does it look like . 
_t4 		(doe)s it look the same ? 
_t4 		it doesn't look any different at all ? 
_t4 		&aw . 
_t4 		oh dear . 
_t4 		right here .
_t4 		orange zinger . 
_t4 		those never came up either . 
_t4 		they +//. 
_t4 		actually we got plants but they didn't bloom . 
_t4 		that's what happened . 
_t4 		direct seed after last frost . 
_t4 		okay it goes in that category . 
_t4 		and this is the (.) chard . 
_t4 		blooms during mid+spring . 
_t4 		to mid+summer . 
_t4 		the cal(endula) +//. 
_t4 		well the +... 
