_t4 		little girl .
_t4 		hi , what is your name ? 
_t4 		what's your last name , Naima ? 
_t4 		do you have any other first name ? 
_t4 		yes , what's your other name ? 
_t4 		xxx , that's such a nice name . 
_t4 		what is Naima ? 
_t4 		why are you named Naima ?
_t4 		because there's music named Naima . 
_t4 		
_t4 		where do you go to school ?
_t4 		what's the name of your school ? 
_t4 		do you like it there ? 
_t4 		what's one of the favorite things you can do there ? 
_t4 		the spindle box ? 
_t4 		can you explain what the spindle box is ? 
_t4 		o:h . 
_t4 		it's one person work . 
_t4 		what are some other types of one person work at school ? 
_t4 		what's a type of two person work ? 
_t4 		seeing the longest one in ? 
_t4 		is that number rods ?
_t4 		oh , seeing the longest one in , I don't know +/.
_t4 		o:h .
_t4 		I see . 
_t4 		thank+you for talking with me ! 
_t4 		would you like to see yourself on this ? 
_t4 		can you tell  what some of your toys are at home ? 
_t4 		can you talk about your friends ? 
_t4 		what are some of the new books we just got , that I just got for you ?
_t4 		
_t4 		
_t4 		no silhouettes where the stickers are supposed to go .
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		what are the stories about in those sticker books we just got ? 
_t4 		
_t4 		Jemima puddle+duck . 
_t4 		what is she trying to do ? 
_t4 		why does she , why does she go out and leave the farm in the first place ? 
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		she laid nine eggs .
_t4 		
_t4 		but where did she lay her eggs ? 
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		but she didn't get eaten . 
_t4 		
_t4 		he wanted to eat her and her eggs .
_t4 		
_t4 		
_t4 		but it's pretending to be a friend . 
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		I think the story said that she laid some more eggs later on . 
_t4 		
_t4 		should we see what this sounds like ? 
_t4 		how does this sound to you ?
_t4 		
_t4 		(o)kay .
_t4 		(o)kay what ? 
_t4 		how much is these many fingers plus +//. 
_t4 		you hold up some .
_t4 		how many do I have ? 
_t4 		
_t4 		and how many do you have ? 
_t4 		no , how many do you have up ? 
_t4 		so , how much is two plus three ? 
_t4 		very good ! 
_t4 		
_t4 		okay .
_t4 		
_t4 		why do they say gazag ? 
_t4 		what kind of predators do gazaggers have ? 
_t4 		
_t4 		oh , you mean +/. 
_t4 		
_t4 		you mean they're predators to chickens ? 
_t4 		uh+huh .
_t4 		
_t4 		I think chickens are prey .
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		
_t4 		what do grandparent gazaggers say ? 
_t4 		and what do gazaggers say ?
_t4 		and what do baby gazaggers say ? 
_t4 		and what do Australian gazaggers say ? 
_t4 		
_t4 		and what do baby Australian gazaggers say ? 
_t4 		and what are they called ? 
_t4 		gadaggers are the Australian ones ?
_t4 		the mother ones . 
_t4 		and where do they live in Australia ? 
_t4 		do they live in towns with people ? 
_t4 		stuck ? 
_t4 		
_t4 		they're slimy ?
_t4 		
_t4 		
_t4 		xxx . 
_t4 		yeah , they're both on the same , if they have both on .
_t4 		
_t4 		
_t4 		and  .
_t4 		
_t4 		I'm not +//.
_t4 		I can't tell exactly .
_t4 		I'm on f+one , are you on f+two ?
_t4 		
_t4 		
_t4 		it hit your chest  ? 
_t4 		would you +//? 
_t4 		are you interested in sitting on your bed and reading a book and having some quiet time ?
_t4 		it might be nice .
_t4 		it won't come out ?
_t4 		I know Daddy's [: Daddy has] had a+lot of trouble .
_t4 		you sure you don't want to look at a book together ?
_t4 		oh , there are a+lot of clothing there .
_t4 		I know . 
_t4 		you know why we have too much clothing ?
_t4 		because (.)  +... 
_t4 		because it's in+between summer and (.)  autumn . 
_t4 		it's autumn now , and we have some summer clothes in the drawers and we have some winter clothes in the drawers . 
_t4 		come look at a book with me . 
_t4 		what ?
_t4 		xxx I'll do that .
_t4 		I'll play that game if you can wear this .
_t4 		Ella fell off the swing and broke her arm ? 
_t4 		okay . 
_t4 		I'm gonna try to give her some medicine .
_t4 		I'm gonna talk to her about taking medicine . 
_t4 		ooh . 
_t4 		Ella ? 
_t4 		let me talk to you about medicine for your arm . 
_t4 		Ella , you have something called a fracture (.) on your arm . 
_t4 		you remember you saw it on the x+ray ? 
_t4 		you need to take some (.) calcium for your arm . 
_t4 		that's not really medicine , that's a vitamin that helps your bones grow . 
_t4 		Ella , why aren't you talking ? 
_t4 		oops ,  . 
_t4 		why don't I not just not attach that , there  .
_t4 		Ella , tell me what happened when you fell off and broke +/. 
_t4 		o:h , one of your mommies was watching  , and not you , and that's when you fell ? 
_t4 		but wait a minute .
_t4 		aren't you big enough to make sure that you can't fall yourself ?
_t4 		can you roll back over this way , Ella , please ? 
_t4 		thank+you . 
_t4 		Ella , how did your mommy notice that you had fallen off the swing ? 
_t4 		can you roll back this way , Ella ?
_t4 		please ? 
_t4 		did your mommy notice ?
_t4 		or did she notice because you made a noise ? 
_t4 		what kind of noise did you make ? 
_t4 		can you make the noise for me ?
_t4 		did you break anything else ? 
_t4 		why do you think it was your arm that got broken and not some other part of you ? 
_t4 		you were rolling . 
_t4 		(o)kay . 
_t4 		you know what , roll this way please . 
_t4 		this microphone is not gonna work if you keep rolling over there . 
_t4 		I won't , I'm gonna hold it for a little while .
_t4 		are you tired , Ella ? 
_t4 		I see . 
_t4 		wet , that's interesting . 
_t4 		that definitely begins with the sound  . 
_t4 		but I was thinking of wind . 
_t4 		it's invisible , except you can see what it's doing to the trees . 
_t4 		you can see it moving the trees , but you can't see something called wind . 
_t4 		yeah ?
_t4 		what ?
_t4 		one of your mommies was trying to make sure that  didn't fall off the swing ? 
_t4 		oh , that  didn't bump into another child , cause he's a +//. 
_t4 		is he a toddler ?
_t4 		what was  doing at that time ? 
_t4 		what was  doing ? 
_t4 		can you talk to me so I can hear you ?
_t4 		is he a stranger ? 
_t4 		and , is he related to you ? 
_t4 		what is he to you ? 
_t4 		I can't hear you .
_t4 		can you speak in this direction ?
_t4 		he's your baby brother . 
_t4 		how old is he ? 
_t4 		he just turned two months old . 
_t4 		boy , he's walking a+lot for a two+month+old . 
_t4 		I heard one of  real mommies say that he was fifteen months old . 
_t4 		and he's walking around . 
_t4 		forgot to put  shoes on ? 
_t4 		he must have been getting wood chips in his socks then . 
_t4 		he was barefeeted ?
_t4 		you mean he was barefoot ? 
_t4 		she meant to put his sandals on . 
_t4 		hmmm . 
_t4 		do you like having a baby brother ? 
_t4 		oop(s) . 
_t4 		and are you Ella or Emma ? 
_t4 		you're Ella .
_t4 		what grade , what grade are you in at school ? 
_t4 		xxx is under eight . 
_t4 		and you are +..? 
_t4 		and you are eight , I see .
_t4 		what do you do at your big kid school ? 
_t4 		what kinds of things do you do ?
_t4 		I can't hear you cause you're talking over in that direction .
_t4 		how to cut . 
_t4 		hmmm . 
_t4 		without bumping into the scissors ,  . 
_t4 		that's good , and what other rules are there about scissors that you know , Ella ? 
_t4 		mmmm+hmmm . 
_t4 		is there another rule about running with scissors ? 
_t4 		mmmm+hmmm .
_t4 		mmmm+hmmm .
_t4 		and no running with scissors in your hands .
_t4 		even if they're closed .
_t4 		do you have scissors at school ? 
_t4 		that work that you brought home , in the envelope ? 
_t4 		did you use scissors for that ? 
_t4 		are those toddler scissors like the ones you have had at home ?
_t4 		or are they different ? 
_t4 		uh+huh .
_t4 		is that a kind of work you can choose to do any time you want ? 
_t4 		oh , great ! 
_t4 		is that one person work , or more than one person work ? 
_t4 		mmmm+hmmm . 
_t4 		what other kinds of one person work are there at your school ? 
_t4 		apple tree work , uh+huh . 
_t4 		most of the work is one person work , isn't that right ? 
_t4 		and then there's a few things that are two person work like pancakes and what else ?
_t4 		longest+one+in . 
_t4 		and longest+one+in is where you take a measuring tape and you do what ? 
_t4 		oh .
_t4 		oh . 
_t4 		are they yardsticks or rulers or are they measuring+tapes ? 
_t4 		mmmm+hmmm .
_t4 		oh , made out of wood . 
_t4 		are they red rods ? 
_t4 		mmmm+hmmm .
_t4 		okay . 
_t4 		you think they're measuring tape ? 
_t4 		they're not yellow or white ?
_t4 		measuring tape is like the yellow or white ones that Mommy has , where you can adjust them to different lengths . 
_t4 		and they move , and they're made out of metal usually , or cloth . 
_t4 		oh , like what I measure your waist and your tummy and your hips and your body with , that's also measuring tape . 
_t4 		yeah , yeah , yeah .
_t4 		xxx . 
_t4 		spreading out a little child ?
_t4 		it's called your height .
_t4 		right ? 
_t4 		measuring your height .
_t4 		xxx .
_t4 		okay . 
_t4 		hmmm , I see something here that looks like a faucet .
_t4 		how strange , it's pink . 
_t4 		I've never seen a soft , pink faucet before .
_t4 		what is that ? 
_t4 		lemme [: let me] pull on it , and try to get water out of it and see what happens .
_t4 		oh , it makes a funny noise !
_t4 		like a strange little bird . 
_t4 		I can't hear you cause you're talking in that direction .
_t4 		yes ? 
_t4 		I think there's something wrong with the faucet . 
_t4 		I'm gonna have_to call a plumber .
_t4 		this faucet isn't giving me any water .
_t4 		who are you ?
_t4 		a child ? 
_t4 		hello ! 
_t4 		what was your toe doing there looking like a faucet ? 
_t4 		I did , I thought it was a faucet . 
_t4 		oh look , I see a little outdoor faucet here ! 
_t4 		it's not giving me any water . 
_t4 		lemme [: let me] turn the handles . 
_t4 		there's no water coming out .
_t4 		well , I'm gonna go call the plumber . 
_t4 		hello ? 
_t4 		there's a faucet here that's not working . 
_t4 		xxx . 
_t4 		yawn yawn yawn yawn yawn yawn yawn , said the plumber .
_t4 		okay . 
_t4 		ting ting ting , ting ting ting , ting ting ting , ting ting ting . 
_t4 		this faucet's [: faucet is] not working . 
_t4 		wait a minute , what's this attached to it ?
_t4 		xxx .
_t4 		an arm !
_t4 		xxx . 
_t4 		it's a faucet with an arm and a shoulder ! 
_t4 		and a body ! 
_t4 		it's not a faucet , it's a child .
_t4 		hi . 
_t4 		what are you doing here , child ?
_t4 		the plumber calls the human who lives in the house . 
_t4 		hello ? 
_t4 		hello , the human that lives in the house ? 
_t4 		oh , is that your child ? 
_t4 		does she like to pretend to be a faucet sometimes ?
_t4 		hmmm    . 
_t4 		oh  , don't forget I've got the microphone over he:re . 
_t4 		should we go play in your room , Naima ? 
_t4 		all+right . 
_t4 		let's [: let us] go let's [: let us] go .
_t4 		you know what you've [: you have] got , you've [: you have] got that rubber+band work . 
_t4 		you haven't done that for a while . 
_t4 		you gonna make another pattern with it ? 
_t4 		oh , you're gonna do it over there ? 
_t4 		you could bring it over here to do it .
_t4 		I will . 
_t4 		why don't you bring it over here to the table ?
_t4 		tell me again what that language is called . 
_t4 		hey , you got almost all them on ? 
_t4 		mmmm , it's all tangled , isn't it ? 
_t4 		you want this big one ? 
_t4 		oh , but it's underneath all this . 
_t4 		I can't get it out without undoing some other ones .
_t4 		is that what you wanted ?
_t4 		there ,  . 
_t4 		you want me to undo all of them ? 
_t4 		everything ? 
_t4 		or just that one ? 
_t4 		okay . 
_t4 		you gonna do it over again ?
_t4 		oh .
_t4 		all+right .
_t4 		you're gonna put this away , put this work away ?
_t4 		okay .
_t4 		you can sort these , too . 
_t4 		it would be a good , fun thing to sort into colors . 
_t4 		triangle . 
_t4 		it made a nice noise , too . 
_t4 		you okay ? 
_t4 		careful not to break +//. 
_t4 		they will break if you stretch it too much , and then it will hurt a+lot .
_t4 		xxx .
_t4 		oh yeah . 
_t4 		xxx . 
_t4 		you can have it go either way .
_t4 		that's an interesting shape . 
_t4 		that's a shape that has (.) one , two , three , four sides .
_t4 		but it's not a square or a diamond . 
_t4 		mmmm+hmmm . 
_t4 		hmmm . 
_t4 		one , two , three , that was four sides , that shape . 
_t4 		a triangle . 
_t4 		a triangle has three sides , right ? 
_t4 		hmmm . 
_t4 		mmmm+hmmm ?
_t4 		what ? 
_t4 		you wanna take it out of the tray ? 
_t4 		want me to take it out of the tray for you ? 
_t4 		okay . 
_t4 		do you wanna go down and have some breakfast now ?
_t4 		and then we'll go down and have breakfast ?
_t4 		okay .
_t4 		you know how to get them all off . 
_t4 		hmmm , it's tangled in . 
_t4 		you have_to take em [: them] both off . 
_t4 		uh+huh . 
_t4 		duladil ? 
_t4 		xxx that shape ? 
_t4 		hmmm . 
_t4 		that also has four sides . 
_t4 		now it's a line , isn't it ? 
_t4 		you mean three sets of four ? 
_t4 		he added them up ?
_t4 		four plus four plus four ? 
_t4 		we could do that with rocks .
_t4 		let's [: let us] get the rocks out .
_t4 		actually , look , Naima . 
_t4 		here's a set of four , here's another set of four , and here's another set of four . 
_t4 		ooh .
_t4 		well +...
_t4 		one +...
_t4 		yes ! 
_t4 		three sets of four makes twelve .
_t4 		you could make three sets of four rubber+bands , too , and then count them . 
_t4 		where's the top ? 
_t4 		oh , I have the top right here .
_t4 		you wanna stop recording ?
_t4 		okay .
_t4 		have a name . 
_t4 		is that bear just called little+bear ?
_t4 		it doesn't have a name ? 
_t4 		and big+bear is just called big+bear ? 
_t4 		hmmm . 
_t4 		do you wanna give me those magazines so you can sit on the rocking chair ? 
_t4 		give me the ones on the floor there . 
_t4 		I'll make a neat pile and take them somewhere else . 
_t4 		well you can  , (o)kay ? 
_t4 		you need a magazine rack . 
_t4 		xxx . 
_t4 		and that one , too . 
_t4 		can you gimme [: give me] that piece of paper , too ? 
_t4 		uh , is that what that is ? 
_t4 		oh , I thought it was garbage .
_t4 		cause there were some other +//. 
_t4 		there were other texture pieces that we did .
_t4 		well , it didn't look like textures to me for a minute , but I guess maybe that's what it was . 
_t4 		this is trash . 
_t4 		Alexander . 
_t4 		do you wanna read a book together ? 
_t4 		you know , there's some new books from the library that we haven't read yet . 
_t4 		I don't mean the library , I mean the library sale , that we haven't even read yet . 
_t4 		they're over here .
_t4 		there's a couple of them over here in this pile . 
_t4 		this one is called Oil Spill . 
_t4 		and (.) did we read this one yet ? 
_t4 		that's called Baby Bears and How They Grow . 
_t4 		and  Baby and  . 
_t4 		Good Job Little Bear is here .
_t4 		yeah . 
_t4 		I think that Oil Spill is the one I was thinking of . 
_t4 		it's about an oil spill . 
_t4 		do you wanna sit in the bed and read that together ? 
_t4 		okay . 
_t4 		mmmm+hmmm . 
_t4 		well there's a certain kind of oil spill that happens (.) when oil being carried , lots a big amount of oil being carried by a boat ,  has an accident and spills out accidentally . 
_t4 		and that causes problems for animals , when that happens . 
_t4 		oh , and we haven't read that , called Snowy Owl . 
_t4 		is that a beaver or an otter ? 
_t4 		oh , I wanna read this and find out .
_t4 		mmmm , that's a problem . 
_t4 		poor little otter . 
_t4 		well , we're gonna read about that . 
_t4 		right now .
_t4 		xxx into the bed and do some reading , unless you wanna read in the rocking chair . 
_t4 		so many good books .
_t4 		Naima , I'll be right back . 
_t4 		I just wanna get these things out of the way .
_t4 		well , oil spills aren't good for animals . 
_t4 		all kinds of problems +... 
_t4 		no . 
_t4 		people can't be swimming in the water when there's an oil spill . 
_t4 		you'd get sick from that . 
_t4 		cause it's not good to swim where there's +... 
_t4 		you know , that's not like the oil we cook with .
_t4 		that's oil that is used to put into cars and gasoline .
_t4 		crude oil , it turns into that kind of oil .
_t4 		come sit here next to me . 
_t4 		get comfy . 
_t4 		have a seat . 
_t4 		well , it lives there .
_t4 		but let's [: let us] find out what it , where it lives and what it's doing and what happens to it . 
_t4 		this is called Oil Spill . 
_t4 		I'm not even sure what kind of animal that is . 
_t4 		yeah I guess I think it's an otter .
_t4 mmmm oil spills happen when big 
_t4  big 
_t4  big boats like this that are carrying crude 
_t4  it's called crude 
_t4  oil from one country to another have an accident of some kind and they spill their oil into the ocean . 
_t4 		that doesn't happen very often , but when it happens , it's not a good thing . 
_t4 		okay , and this is actually the story of an oil spill that really happened a while ago . 
_t4 		the night of March twenty+fourth , nineteen+eighty+nine , was dark and cold . 
_t4 		this is how big that boat is .
_t4 		a huge black oil tanker glided out of the port of Valdez , Alaska . 
