A	[A]	ax
A'S	[A'S]	ey z
ABC'S	[ABC'S]	ae b iy s iy s
ABCS	[ABCS]	ae b iy s iy z
ABLE	[ABLE]	ey b ax l
ABOARD	[ABOARD]	ax b ao r d
ABORT	[ABORT]	ax b ao r t
ABOUT	[ABOUT]	ax b aw t
ABOVE	[ABOVE]	ax b ah v
ABSCONDED	[ABSCONDED]	aa b s k aa n d eh d
ABSENT	[ABSENT]	ae b s ax n t
ABSOLUTELY	[ABSOLUTELY]	ae b s ax l uw t l iy
ABSORB	[ABSORB]	ax b z ao r b
ABSTRACT	[ABSTRACT]	ae b s t r ae k t
ABUELA	[ABUELA]	ae b w eh l ax
ABUELO	[ABUELO]	ae b w eh l ow
AC	[AC]	ey s iy
ACCENT	[ACCENT]	ax k s eh n t
ACCESS	[ACCESS]	ae k s eh s
ACCESSIBLE	[ACCESSIBLE]	ae k s eh s ax b ax l
ACCESSORIES	[ACCESSORIES]	ae k s eh s er iy z
ACCESSORIZE	[ACCESSORIZE]	ae k s eh s er ay z
ACCIDENT	[ACCIDENT]	ae k s ax d ax n t
ACCIDENTS	[ACCIDENTS]	ae k s ax d ax n t s
ACCOMPLICE	[ACCOMPLICE]	ax k aa m p l ax s
ACCORDING	[ACCORDING]	ax k ao r dx ix ng
ACCURATELY	[ACCURATELY]	ae k y er ax t l iy
ACELAND	[ACELAND]	ey s l ae n d
ACHE	[ACHE]	ey k
ACHOO	[ACHOO]	aa ch uw
ACHURNING	[ACHURNING]	ax ch er n ix ng
ACORN	[ACORN]	ey k ao r n
ACORNS	[ACORNS]	ey k ao r n z
ACRE	[ACRE]	ey k er
ACROBATICS	[ACROBATICS]	ae k r ax b ae dx ix k s
ACROSS	[ACROSS]	ax k r ao s
ACT	[ACT]	ae k t
ACTING	[ACTING]	ae k t ix ng
ACTION	[ACTION]	ae k sh ax n
ACTIVE	[ACTIVE]	ae k t ix v
ACTIVITIES	[ACTIVITIES]	ae k t ih v ax dx iy z
ACTUALLY	[ACTUALLY]	ae k ch ax w ax l iy
ACUMMA	[ACUMMA]	ax k ah m ax
ADAM'S	[ADAM'S]	ae dx ax m z
ADAMANT	[ADAMANT]	ae dx ax m ax n t
ADD	[ADD]	ae d
ADDED	[ADDED]	ae dx ax d
ADDICT	[ADDICT]	ax d ih k t
ADDING	[ADDING]	ae dx ix ng
ADDITION	[ADDITION]	ax d ih sh ax n
ADDRESS	[ADDRESS]	ae d r eh s
ADDS	[ADDS]	ae d z
ADIOS	[ADIOS]	aa dx iy ow s
ADJUST	[ADJUST]	ax jh ah s t
ADJUSTING	[ADJUSTING]	ax jh ah s t ix ng
ADLER'S	[ADLER'S]	ae d l er z
ADMIRED	[ADMIRED]	ax d m ay er d
ADMIRING	[ADMIRING]	ae d m ay r ix ng
ADORABLE	[ADORABLE]	ax d ao r ax b ax l
ADULT	[ADULT]	ax d ah l t
ADULTS	[ADULTS]	ax d ah l t s
ADVANCE	[ADVANCE]	ax d v ae n s
ADVANCED	[ADVANCED]	ax d v ae n s t
ADVENTURE	[ADVENTURE]	ae d v eh n ch er
ADVENTURES	[ADVENTURES]	ae d v eh n ch er z
ADVERBS	[ADVERBS]	ae d v er b z
ADVICE	[ADVICE]	ae d v ay s
ADVIL	[ADVIL]	ae d v ih l
AFFECTION	[AFFECTION]	ax f eh k sh ax n
AFFECTS	[AFFECTS]	ax f eh k t s
AFRAID	[AFRAID]	ax f r ey d
AFRICAN	[AFRICAN]	ae f r ax k ax n
AFTER	[AFTER]	ae f t er
AFTERNOON	[AFTERNOON]	ae f t er n uw n
AFTERWARD	[AFTERWARD]	ae f t er w er d
AFTERWARDS	[AFTERWARDS]	ae f t er w er d z
AGAIN	[AGAIN]	ax g eh n
AGAINST	[AGAINST]	ax g eh n s t
AGE	[AGE]	ey jh
AGES	[AGES]	ey jh ax z
AGGRESSIVE	[AGGRESSIVE]	ax g r eh s ix v
AGING	[AGING]	ey jh ix ng
AGO	[AGO]	ax g ow
AGREE	[AGREE]	ax g r iy
AGREEABLE	[AGREEABLE]	ax g r iy ax b ax l
AHEAD	[AHEAD]	ax hh eh d
AIDAN	[AIDAN]	aa iy d aa n
AIDEN	[AIDEN]	ey d eh n
AIR	[AIR]	eh r
AIRPLANE	[AIRPLANE]	eh r p l ey n
AIRPLANES	[AIRPLANES]	eh r p l ey n z
AIRPORT	[AIRPORT]	eh r p ao r t
AISLES	[AISLES]	ay l z
AJUMELARGI	[AJUMELARGI]	aa jh ah m eh l aa r jh iy
AL	[AL]	ae l
ALAN	[ALAN]	ae l ax n
ALARM	[ALARM]	ax l aa r m
ALARMCLOCK	[ALARMCLOCK]	ax l aa r m k l aa k
ALASKA	[ALASKA]	ax l ae s k ax
ALBEIT	[ALBEIT]	ao l b iy ix t
ALBUM	[ALBUM]	ae l b ax m
ALEC	[ALEC]	ae l ix k
ALEC'S	[ALEC'S]	ae l ix k s
ALEX	[ALEX]	ae l ax k s
ALEX'S	[ALEX'S]	ae l ax k s ix z
ALICE	[ALICE]	ae l ax s
ALICE'S	[ALICE'S]	ae l ax s ax z
ALICY	[ALICY]	ae l ih s iy
ALIEN	[ALIEN]	ey l iy ax n
ALIKAN	[ALIKAN]	aa l iy k aa n
ALIVE	[ALIVE]	ax l ay v
ALL	[ALL]	ao l
ALLEN	[ALLEN]	ae l ax n
ALLERGIC	[ALLERGIC]	ax l er jh ix k
ALLEY	[ALLEY]	ae l iy
ALLIGATOR	[ALLIGATOR]	ae l ax g ey dx er
ALLIN	[ALLIN]	ax l ih n
ALLISI	[ALLISI]	ae l ih s iy
ALLRIGHT	[ALLRIGHT]	aa l r ay t
ALLRIGHTY	[ALLRIGHTY]	ao l r ay dx iy
ALLY	[ALLY]	ae l ay
ALMOND	[ALMOND]	aa m ax n d
ALMONDBUTTER	[ALMONDBUTTER]	aa m ax n d b ah dx er
ALMONDS	[ALMONDS]	aa l m ax n d z
ALMOST	[ALMOST]	ao l m ow s t
ALONE	[ALONE]	ax l ow n
ALONG	[ALONG]	ax l ao ng
ALOT	[ALOT]	ax l aa t
ALPHABEFFIN	[ALPHABEFFIN]	ax l f ax b eh f ih n
ALPHABET	[ALPHABET]	ae l f ax b eh t
ALREADY	[ALREADY]	ao l r eh dx iy
ALRIGHT	[ALRIGHT]	ao l r ay t
ALRIGHTY	[ALRIGHTY]	ae l r ay dx iy
ALSO	[ALSO]	ao l s ow
ALTHOUGH	[ALTHOUGH]	ao l dh ow
ALTOGETHER	[ALTOGETHER]	ao l t ax g eh dh er
ALWAYS	[ALWAYS]	ao l w ey z
ALZHEIMER'S	[ALZHEIMER'S]	ae l z hh ay m er z
AM	[AM]	ae m
AMANDA	[AMANDA]	ax m ae n d ax
AMAZED	[AMAZED]	ax m ey z d
AMAZING	[AMAZING]	ax m ey z ix ng
AMAZON	[AMAZON]	ae m ax z aa n
AMBIENT	[AMBIENT]	ae m b iy ax n t
AMBITIOUS	[AMBITIOUS]	ae m b ih sh ax s
AMBULANCE	[AMBULANCE]	ae m b y ax l ax n s
AMERICAN	[AMERICAN]	ax m eh r ax k ax n
AMIGO	[AMIGO]	ax m iy g ow
AMIGOS	[AMIGOS]	ax m iy g ow z
AMONG	[AMONG]	ax m ah ng
AMONGST	[AMONGST]	ax m ah ng s t
AMOUNT	[AMOUNT]	ax m aw n t
AMPHIBIANS	[AMPHIBIANS]	ae m f ih b iy ax n z
AMUSED	[AMUSED]	ax m y uw z d
AN	[AN]	ae n
ANA	[ANA]	aa n ax
ANALOGY	[ANALOGY]	ax n ae l ax jh iy
ANCY	[ANCY]	ae n s iy
AND	[AND]	ae n d
ANDRES	[ANDRES]	aa n d r ey z
ANDREW	[ANDREW]	ae n d r uw
AND_A	[AND_A]	ae n
ANEEK	[ANEEK]	eh n iy k
ANG	[ANG]	ae ng
ANGEL	[ANGEL]	ey n jh ax l
ANGELFISH	[ANGELFISH]	ey n jh ax l f ih sh
ANGELS	[ANGELS]	ey n jh ax l z
ANGLE	[ANGLE]	ae ng g ax l
ANGLEWORM	[ANGLEWORM]	ae ng g ax l w er m
ANGRY	[ANGRY]	ae ng g r iy
ANGUS	[ANGUS]	ae ng g ax s
ANIMAL	[ANIMAL]	ae n ax m ax l
ANIMAL'S	[ANIMAL'S]	ae n ax m ax l z
ANIMALS	[ANIMALS]	ae n ax m ax l z
ANIMALS'	[ANIMALS']	ae n ax m ax l z
ANKLE	[ANKLE]	ae ng k ax l
ANKLES	[ANKLES]	ae ng k ax l z
ANNA	[ANNA]	ae n ax
ANNE	[ANNE]	ae n
ANNIE'S	[ANNIE'S]	ae n iy z
ANNOUNCED	[ANNOUNCED]	ax n aw n s t
ANNOY	[ANNOY]	ax n oy
ANNOYING	[ANNOYING]	ax n oy ix ng
ANOTHER	[ANOTHER]	ax n ah dh er
ANSWER	[ANSWER]	ae n s er
ANSWERED	[ANSWERED]	ae n s er d
ANT	[ANT]	ae n t
ANTEATER	[ANTEATER]	ae n t iy dx er
ANTENNA	[ANTENNA]	ae n t eh n ax
ANTHILL	[ANTHILL]	ae n t hh ih l
ANTHONY	[ANTHONY]	ae n th ax n iy
ANTS	[ANTS]	ae n t s
ANUKANUKA	[ANUKANUKA]	ah n ah k ax n ah k ax
ANXIOUS	[ANXIOUS]	ae ng k sh ax s
ANY	[ANY]	eh n iy
ANYBODY	[ANYBODY]	eh n iy b ax dx iy
